policy,acquired_view_count,coverage_mean,reachable_normalized_coverage_mean,reachable_coverage_ceiling_mean,object_count
farthest,1,0.19528458213782865,0.20425834537435178,0.9320595447834561,300
farthest,2,0.3767747803017897,0.3956095594999813,0.9320595447834561,300
farthest,3,0.5649292148078154,0.5990062058995185,0.9320595447834561,300
farthest,4,0.6589732115934246,0.7011171289637046,0.9320595447834561,300
farthest,5,0.7375283065850285,0.7866935693979158,0.9320595447834561,300
farthest,6,0.826405793858842,0.8816820454100313,0.9320595447834561,300
farthest,7,0.8382393292250072,0.8945579284319105,0.9320595447834561,300
farthest,8,0.846902903357501,0.9039535587190638,0.9320595447834561,300
farthest,9,0.8540205308003553,0.9117603713131435,0.9320595447834561,300
farthest,10,0.8623288668564715,0.9208909179705893,0.9320595447834561,300
