policy,history_length,sample_count,huber_loss,normalized_regret_mean,spearman_mean,ndcg_at_5_mean
vggt_independent_history,1,2400,0.012779865587751071,0.07352336859675303,0.8365110911964231,0.9398734104404524
vggt_joint_pose_deepsets,1,2400,0.010874293239127534,0.05560783995234535,0.8674126965772431,0.9533746780885661
vggt_independent_history,2,2400,0.009595456875831587,0.08045234602425441,0.8186765854661322,0.929656103969888
vggt_joint_pose_deepsets,2,2400,0.010680852687122145,0.07691604532202265,0.8390528831329015,0.9337041239947951
vggt_independent_history,4,2400,0.007058351344797605,0.15312494687382908,0.7245305943632836,0.8645734324384631
vggt_joint_pose_deepsets,4,2400,0.008995938386360649,0.13065861774803603,0.7592870541678343,0.8869856061334183
vggt_independent_history,6,2400,0.005893686896257956,0.24476499987749206,0.6229876040328539,0.7874191803958173
vggt_joint_pose_deepsets,6,2400,0.007392643833397112,0.23540223194533444,0.6197066006435422,0.7990205903697548
vggt_independent_history,8,2400,0.005224169184657512,0.32696594081886277,0.530155837041078,0.7228750418201028
vggt_joint_pose_deepsets,8,2400,0.006347496861659844,0.3105567166652322,0.5125881710453357,0.7330319165104094
