policy,acquired_view_count,coverage_mean,reachable_normalized_coverage_mean,reachable_coverage_ceiling_mean,object_count
vggt,1,0.19528458213782865,0.20425834537435178,0.9320595447834561,300
vggt,2,0.4079021847531545,0.431331093594563,0.9320595447834561,300
vggt,3,0.5537052206726687,0.5886160047981944,0.9320595447834561,300
vggt,4,0.6143043035712966,0.6538475615538396,0.9320595447834561,300
vggt,5,0.6795222949142112,0.7240602712441745,0.9320595447834561,300
vggt,6,0.7242266645949278,0.7721599869160065,0.9320595447834561,300
vggt,7,0.7532386702383821,0.8034698144301766,0.9320595447834561,300
vggt,8,0.7819868904872317,0.8345768555809474,0.9320595447834561,300
vggt,9,0.8000413730282706,0.8540503693327625,0.9320595447834561,300
vggt,10,0.816147450195187,0.8716175581796445,0.9320595447834561,300
