anchor_id,azimuth_rad,elevation_rad,direction_x,direction_y,direction_z
0,1.5707963267948966,1.5707963267948966,0,0,1
1,3.0981417581982624,0.99779537667103424,-0.54164440837458749,0.023549756885851703,0.84027777777777768
2,3.9269908169872414,0.74852060215020089,-0.5180946514887359,-0.5180946514887359,0.68055555555555536
3,4.7558398757762204,0.99779537667103424,0.023549756885851536,-0.54164440837458749,0.84027777777777768
4,0.12179344924210586,1.0893358553188295,0.45964381850812985,0.056260062146569811,0.88631956173522952
5,1.4490028775527908,1.0893358553188295,0.056260062146569811,0.45964381850812991,0.88631956173522952
6,2.3634107063727372,0.81118857596738259,-0.49044110114563932,0.48341343430344336,0.72510618383930714
7,3.0102401843133353,0.52027185260280384,-0.86020954447706943,0.11364499097201336,0.4971160383829149
8,3.6193292245538151,0.34256340993496953,-0.8364399286817561,-0.43305617232019578,0.33590266048699252
9,4.2346524094206668,0.34256340993496942,-0.43305617232019628,-0.83643992868175587,0.33590266048699247
10,4.8437414496611471,0.52027185260280395,0.11364499097201336,-0.86020954447706943,0.49711603838291496
11,5.4905709276017447,0.81118857596738247,0.48341343430344319,-0.49044110114563977,0.72510618383930703
12,6.1197261719474518,0.60893064763981453,0.80932630397273742,-0.13348273760932583,0.57199064018404
13,0.78539816339744828,0.75097477177646987,0.51691208356770457,0.51691208356770457,0.68235166572918171
14,1.7342554620270305,0.60893064763981453,-0.1334827376093258,0.80932630397273764,0.57199064018404
15,2.4965637831096439,0.31052183466576772,-0.76086569421007311,0.57246763912326026,0.30555555555555547
16,3.1965777433041489,0.039130456206753372,-0.99772435905955059,-0.054915317477487076,0.039120470927071049
17,3.926990816987241,-0.071300952868225922,-0.70531013865451775,-0.70531013865451753,-0.071240554618070606
18,4.6574038906703334,0.039130456206753317,-0.054915317477487381,-0.99772435905955059,0.039120470927070994
19,5.357417850864838,0.31052183466576772,0.57246763912325993,-0.76086569421007333,0.30555555555555547
20,0.36099077988954742,0.37818128667484824,0.8694394089747709,0.32824330882857411,0.36923088214675404
21,1.2098055469053492,0.37818128667484824,0.32824330882857411,0.86943940897477101,0.36923088214675404
22,1.993313353386257,0.1535430363221495,-0.40523326987118125,0.90132969500519522,0.15294043903216739
23,2.7190756269984329,-0.15354303632214952,-0.90132969500519511,0.40523326987118147,-0.15294043903216742
24,3.5025834334793404,-0.37818128667484829,-0.86943940897477101,-0.328243308828574,-0.36923088214675409
25,4.3513982004951419,-0.37818128667484835,-0.32824330882857461,-0.86943940897477079,-0.36923088214675415
26,5.1349060069760499,-0.15354303632214936,0.40523326987118152,-0.90132969500519511,-0.15294043903216725
27,5.8606682805882251,0.15354303632214933,0.901329695005195,-0.40523326987118191,0.15294043903216722
28,0.054985089714356158,-0.039130456206753317,0.99772435905955059,0.054915317477487187,-0.039120470927070994
29,0.78539816339744817,0.071300952868225922,0.70531013865451775,0.70531013865451753,0.071240554618070606
30,1.5158112370805403,-0.039130456206753372,0.05491531747748727,0.99772435905955059,-0.039120470927071049
31,2.2158251972750458,-0.31052183466576783,-0.57246763912326015,0.76086569421007322,-0.30555555555555558
32,2.9781335183576592,-0.60893064763981453,-0.80932630397273742,0.13348273760932594,-0.57199064018404
33,3.926990816987241,-0.75097477177646987,-0.51691208356770479,-0.51691208356770457,-0.68235166572918171
34,4.8758481156168232,-0.60893064763981453,0.13348273760932569,-0.80932630397273764,-0.57199064018404
35,5.638156436699437,-0.31052183466576783,0.76086569421007311,-0.57246763912326037,-0.30555555555555558
36,0.47773657096402244,-0.34256340993496959,0.83643992868175598,0.43305617232019583,-0.33590266048699258
37,1.0930597558308741,-0.34256340993496959,0.43305617232019594,0.83643992868175587,-0.33590266048699258
38,1.7021487960713542,-0.52027185260280384,-0.11364499097201319,0.86020954447706943,-0.4971160383829149
39,2.3489782740119525,-0.81118857596738259,-0.4834134343034433,0.49044110114563938,-0.72510618383930714
40,3.2633861028318987,-1.0893358553188295,-0.45964381850812996,-0.056260062146569728,-0.88631956173522952
41,4.5905955311425828,-1.0893358553188297,-0.056260062146570144,-0.4596438185081298,-0.88631956173522963
42,5.5050033599625303,-0.81118857596738259,0.49044110114563949,-0.48341343430344336,-0.72510618383930714
43,6.151832837903128,-0.52027185260280406,0.86020954447706932,-0.11364499097201375,-0.49711603838291507
44,0.78539816339744828,-0.74852060215020089,0.5180946514887359,0.5180946514887359,-0.68055555555555536
45,1.6142472221864272,-0.99779537667103424,-0.023549756885851536,0.54164440837458749,-0.84027777777777768
46,3.9269908169872414,-1.5707963267948966,0,0,-1
47,6.2397344117880555,-0.99779537667103424,0.54164440837458749,-0.023549756885851758,-0.84027777777777768
