object_id,policy,seed,step_index,history_anchor_ids,acquired_view_count_before,acquired_view_count_after,valid_candidate_mask,selected_anchor,selected_true_gain,oracle_true_gain,coverage_before,coverage_after,normalized_regret,spearman,ndcg_at_5,policy_ms,acquisition_ms,process_rss_bytes,process_rss_delta_bytes,peak_cuda_allocated_bytes,profiling_mode
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,farthest,0,1,"[0, 46]",2,3,"[false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true]",18,0.32502364048276977,0.32502364048276977,0.13604127532160326,0.4610649158043729,0.0,0.6317229193187744,0.8449686350933692,0.05324999801814556,0.6335119978757575,888868864,0,,analytic_cpu
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,farthest,0,2,"[0, 46, 18]",3,4,"[false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true]",28,0.16111589102901636,0.24368850560217037,0.4610649158043729,0.6221808068333894,0.36997856023443454,0.6748223223560335,0.8080902723780018,0.06703800318064168,0.656590003927704,888868864,0,,analytic_cpu
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,farthest,0,3,"[0, 46, 18, 28]",4,5,"[false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true]",16,0.11731840315244982,0.20031739895029527,0.6221808068333894,0.7394992099858392,0.4377509211806572,0.6421646335064833,0.8398105845194269,0.05295099981594831,0.759394999477081,888872960,0,,analytic_cpu
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,farthest,0,4,"[0, 46, 18, 28, 16]",5,6,"[false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true, false, true, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true]",30,0.10728239318866184,0.11059739468691163,0.7394992099858392,0.846781603174501,0.03230592678324245,0.5229494999942593,0.9825851192195576,0.06264099647523835,0.8108469992293976,888872960,0,,analytic_cpu
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,farthest,0,5,"[0, 46, 18, 28, 16, 30]",6,7,"[false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true, false, true, true, true, true, true, true, true, true, true, false, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true]",2,0.011787709558315514,0.018476832588938695,0.846781603174501,0.8585693127328164,0.531361085512933,0.1887353552740702,0.5871964603557348,0.051951996283605695,0.011689000530168414,888872960,0,,analytic_cpu
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,farthest,0,6,"[0, 46, 18, 28, 16, 30, 2]",7,8,"[false, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true, false, true, true, true, true, true, true, true, true, true, false, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true]",44,0.00785494099300292,0.015800139676903434,0.8585693127328164,0.8664242537258193,0.7241289046287841,0.2956374867980981,0.5773094041417662,0.06274200131883845,0.6970519971218891,888872960,0,,analytic_cpu
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,farthest,0,7,"[0, 46, 18, 28, 16, 30, 2, 44]",8,9,"[false, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true, false, true, true, true, true, true, true, true, true, true, false, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true, false, true]",13,0.006662844548599653,0.014592170863870362,0.8664242537258193,0.873087098274419,0.749790045307721,0.31156052366054443,0.5617269734989597,0.04635699588106945,0.743910000892356,888872960,0,,analytic_cpu
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,farthest,0,8,"[0, 46, 18, 28, 16, 30, 2, 44, 13]",9,10,"[false, true, false, true, true, true, true, true, true, true, true, true, true, false, true, true, false, true, false, true, true, true, true, true, true, true, true, true, false, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true, false, true]",33,0.005966751088219701,0.012784903146744221,0.873087098274419,0.8790538493626388,0.6594225284561941,0.39539304413690374,0.6221889724625413,0.09581100312061608,0.7078420021571219,888877056,4096,,analytic_cpu
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,pun,0,0,[0],1,2,"[false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true]",18,0.34240813838295486,0.34240813838295486,0.07964814603744022,0.4220562844203951,0.0,0.7000462534690102,0.9724851141427987,104.01938499853713,0.016784004401415586,905711616,16654336,,live_model_inference_incremental
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,pun,0,1,"[0, 18]",2,3,"[false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true]",23,0.206321276698396,0.26499243286659635,0.4220562844203951,0.6283775611187911,0.24971150265941736,-0.2653180796228916,0.48703847218155466,51.715266999963205,0.01668400363996625,905711616,0,,live_model_inference_incremental
