object_id,policy,seed,coverage_target,stop_reason,acquired_views,initial_coverage,final_coverage,coverage_auc,coverage_interval_start,coverage_interval_end,num_steps,normalized_regret_mean,normalized_regret_valid_count,spearman_mean,spearman_valid_count,ndcg_at_5_mean,ndcg_at_5_valid_count,median_policy_ms,peak_process_rss_bytes,peak_process_rss_delta_bytes,peak_cuda_allocated_bytes
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,random,0,vis_a,view_budget_exhausted,10,0.07964814603744022,0.8672489327010197,6.452284400685837,1,10,9,0.5202208473890657,9,0.02000310136126736,9,0.5217147830583208,9,0.0911149982130155,888819712,180224,
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,farthest,0,vis_a,view_budget_exhausted,10,0.07964814603744022,0.8790538493626388,5.8829994735527995,1,10,9,0.5005264413444966,9,0.39553220241551423,9,0.6956678252356346,9,0.06264099647523835,888877056,4096,
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,pun,0,vis_a,view_budget_exhausted,10,0.07964814603744022,0.7639011032410977,5.681649564898704,1,10,9,0.7367248891818412,9,-0.4298331100813143,9,0.26223761348580793,9,70.97357900056522,905715712,16654336,
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,vggt,0,vis_a,view_budget_exhausted,10,0.07964814603744022,0.7932452432602,4.758817569642615,1,10,9,0.7321260747923373,9,-0.022487468898032388,9,0.44738430880781777,9,2.0284159982111305,906133504,397312,
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,oracle,0,vis_a,view_budget_exhausted,10,0.07964814603744022,0.9017307566143992,6.792495377049188,1,10,9,0.0,9,1.0,9,1.0,9,0.002497996320016682,906153984,0,
02691156/162ed8d0d989f3acc1ccec171a275967,random,0,vis_a,view_budget_exhausted,10,0.14497312553920544,0.8852237962951839,6.422842791291435,1,10,9,0.5715382370740714,9,-0.0049336459868605485,9,0.584305299750528,9,0.12618199980352074,906297344,0,
02691156/162ed8d0d989f3acc1ccec171a275967,farthest,0,vis_a,view_budget_exhausted,10,0.14497312553920544,0.9063761533404344,6.339679546929807,1,10,9,0.484379351182431,9,0.43025513616885525,9,0.6992319851622336,9,0.04525699478108436,906301440,0,
02691156/162ed8d0d989f3acc1ccec171a275967,pun,0,vis_a,view_budget_exhausted,10,0.14497312553920544,0.8365028900947495,6.42862734470161,1,10,9,0.704770578730003,9,-0.031006620562656715,9,0.3611066082204935,9,56.39459899975918,906305536,0,
02691156/162ed8d0d989f3acc1ccec171a275967,vggt,0,vis_a,view_budget_exhausted,10,0.14497312553920544,0.8033834061332119,5.816660996427611,1,10,9,0.7839782271259563,9,-0.33780908975638757,9,0.35270999358116534,9,1.9122419980703853,906305536,0,
02691156/162ed8d0d989f3acc1ccec171a275967,oracle,0,vis_a,view_budget_exhausted,10,0.14497312553920544,0.9400091661053289,7.184952717643751,1,10,9,0.0,9,1.0,9,1.0,9,0.0023090033209882677,906309632,0,
02691156/1659db64bbf46bcdc1955ee4b5680e91,random,0,vis_a,view_budget_exhausted,10,0.09615501137793364,0.724669377539024,4.875972006771784,1,10,9,0.731404868057542,9,-0.007177846895873478,9,0.4757448279638878,9,0.08361700020032004,906399744,0,
02691156/1659db64bbf46bcdc1955ee4b5680e91,farthest,0,vis_a,view_budget_exhausted,10,0.09615501137793364,0.7863856489045332,5.350394950349331,1,10,9,0.4500413305901227,9,0.50837143627029,9,0.7501191798088834,9,0.0463760006823577,906403840,0,
02691156/1659db64bbf46bcdc1955ee4b5680e91,pun,0,vis_a,view_budget_exhausted,10,0.09615501137793364,0.7495277955120968,5.216793599361186,1,10,9,0.6444506339593605,9,-0.021044567791434057,9,0.40571895928354906,9,55.519077002827544,906403840,0,
02691156/1659db64bbf46bcdc1955ee4b5680e91,vggt,0,vis_a,view_budget_exhausted,10,0.09615501137793364,0.6897112560848415,4.782395680505347,1,10,9,0.7337514377427333,9,0.2525169080698685,9,0.46517932879979007,9,1.8806090010912158,906407936,0,
02691156/1659db64bbf46bcdc1955ee4b5680e91,oracle,0,vis_a,view_budget_exhausted,10,0.09615501137793364,0.8054778668035212,6.013295417536978,1,10,9,0.0,9,1.0,9,1.0,9,0.0023080065147951245,906416128,0,
02691156/165c4491d10067b3bd46d022fd7d80aa,random,0,vis_a,view_budget_exhausted,10,0.09221828982360161,0.9231144522719397,5.880042729286409,1,10,9,0.5861938125095475,9,0.10015951850479979,9,0.5895275005553859,9,0.08181000157492235,906465280,0,
02691156/165c4491d10067b3bd46d022fd7d80aa,farthest,0,vis_a,view_budget_exhausted,10,0.09221828982360161,0.9344852910736774,6.234203997329789,1,10,9,0.4239049610812959,9,0.4542680585292338,9,0.7656070135253434,9,0.04858399915974587,906465280,0,
02691156/165c4491d10067b3bd46d022fd7d80aa,pun,0,vis_a,view_budget_exhausted,10,0.09221828982360161,0.7893379707735131,5.90088185497609,1,10,9,0.7526570627750108,9,-0.39944430258583963,9,0.28871743210044376,9,62.59261700324714,906465280,0,
02691156/165c4491d10067b3bd46d022fd7d80aa,vggt,0,vis_a,view_budget_exhausted,10,0.09221828982360161,0.8263986379485597,4.901048986857854,1,10,9,0.7577544045045067,9,-0.06838630781180884,9,0.41839581942261245,9,1.7775079977582209,906473472,0,
02691156/165c4491d10067b3bd46d022fd7d80aa,oracle,0,vis_a,view_budget_exhausted,10,0.09221828982360161,0.9474546686945355,7.145508684733818,1,10,9,0.0,9,1.0,9,1.0,9,0.0024089968064799905,906481664,0,
02691156/1667ab313638fb366cf1b4a8fc3914e,random,0,vis_a,view_budget_exhausted,10,0.08599246005281433,0.8847723923591295,6.235231648369797,1,10,9,0.5699446166916151,9,0.011524312370180438,9,0.5620568238756909,9,0.06896000559208915,906555392,0,
02691156/1667ab313638fb366cf1b4a8fc3914e,farthest,0,vis_a,view_budget_exhausted,10,0.08599246005281433,0.9028746106477161,6.016196892496589,1,10,9,0.4659667115015444,9,0.4579337256124812,9,0.7399648481825444,9,0.05269900429993868,906555392,0,
02691156/1667ab313638fb366cf1b4a8fc3914e,pun,0,vis_a,view_budget_exhausted,10,0.08599246005281433,0.802769848186414,6.0473508768884265,1,10,9,0.7153447859928355,9,-0.31767590891355524,9,0.28557517020391093,9,52.79736100055743,906559488,0,
02691156/1667ab313638fb366cf1b4a8fc3914e,vggt,0,vis_a,view_budget_exhausted,10,0.08599246005281433,0.7551397382855602,4.795615210693691,1,10,9,0.7976541292609126,9,-0.07609642193667594,9,0.38408111485059115,9,1.680414003203623,906559488,0,
02691156/1667ab313638fb366cf1b4a8fc3914e,oracle,0,vis_a,view_budget_exhausted,10,0.08599246005281433,0.9229253750054438,6.926990567240215,1,10,9,0.0,9,1.0,9,1.0,9,0.0027980058803223073,906559488,0,
02691156/16689e54c884aa01639c7058eaf33ae,random,0,vis_a,view_budget_exhausted,10,0.08070994475165805,0.7885163377517839,5.106308680207001,1,10,9,0.5783578710522845,9,0.0009168149588341868,9,0.6150072979052027,9,0.07316200208151713,906633216,0,
02691156/16689e54c884aa01639c7058eaf33ae,farthest,0,vis_a,view_budget_exhausted,10,0.08070994475165805,0.7872505853767093,5.363319398127963,1,10,9,0.5511648677967942,9,0.31282622347141364,9,0.707488524296731,9,0.045575994590763,906633216,0,
02691156/16689e54c884aa01639c7058eaf33ae,pun,0,vis_a,view_budget_exhausted,10,0.08070994475165805,0.7248969228621407,5.498882701532591,1,10,9,0.7270651748964669,9,0.021402400932130014,9,0.31205880000300107,9,54.3087639962323,906633216,0,
02691156/16689e54c884aa01639c7058eaf33ae,vggt,0,vis_a,view_budget_exhausted,10,0.08070994475165805,0.709543330301222,4.392562758437107,1,10,9,0.7830263038768428,9,0.05907678748455511,9,0.3551824893725453,9,1.7765630036592484,906637312,0,
02691156/16689e54c884aa01639c7058eaf33ae,oracle,0,vis_a,view_budget_exhausted,10,0.08070994475165805,0.8121518263165041,6.185156975626487,1,10,9,0.0,9,1.0,9,1.0,9,0.002297994797118008,906637312,0,
02691156/166d333d38897d1513d521050081b441,random,0,vis_a,view_budget_exhausted,10,0.14208135162895985,0.8355433888629936,5.953452034959341,1,10,9,0.5040420259772193,9,0.06797840408768038,9,0.6411078052861935,9,0.07536000339314342,906719232,0,
02691156/166d333d38897d1513d521050081b441,farthest,0,vis_a,view_budget_exhausted,10,0.14208135162895985,0.8422639975406658,5.843223699920846,1,10,9,0.3928543960955605,9,0.41170318291338737,9,0.7461069353932059,9,0.0546709998161532,906719232,0,
02691156/166d333d38897d1513d521050081b441,pun,0,vis_a,view_budget_exhausted,10,0.14208135162895985,0.8125088438782675,5.443588909076437,1,10,9,0.6552715737533665,9,-0.09867779911915492,9,0.4809156888779598,9,53.311981006118,906723328,0,
02691156/166d333d38897d1513d521050081b441,vggt,0,vis_a,view_budget_exhausted,10,0.14208135162895985,0.6729851002826188,4.530817536163487,1,10,9,0.8396404755311868,9,-0.023980353104879833,9,0.38245506101975313,9,1.9730480053112842,906727424,0,
02691156/166d333d38897d1513d521050081b441,oracle,0,vis_a,view_budget_exhausted,10,0.14208135162895985,0.8674653254603504,6.564730790168584,1,10,9,0.0,9,1.0,9,1.0,9,0.0022980020730756223,906727424,0,
02691156/16715d886ecf0a97ce2cec85ea6ae00d,random,0,vis_a,view_budget_exhausted,10,0.13740721302201397,0.7347776375077064,5.4143885876656626,1,10,9,0.5734826035588871,9,0.020951815393116226,9,0.5107014403866508,9,0.06846400356153026,906813440,0,
02691156/16715d886ecf0a97ce2cec85ea6ae00d,farthest,0,vis_a,view_budget_exhausted,10,0.13740721302201397,0.747193261558393,5.206447443453456,1,10,9,0.46737937079675806,9,0.43447622065454267,9,0.7208181305056739,9,0.04587500006891787,906817536,0,
02691156/16715d886ecf0a97ce2cec85ea6ae00d,pun,0,vis_a,view_budget_exhausted,10,0.13740721302201397,0.7233781603936904,5.372927783458951,1,10,9,0.6338892551718307,9,0.06883582020447326,9,0.46039355631684536,9,67.42063700221479,907419648,602112,
