policy,object_count,policy_score_semantics,training_target_semantics,final_coverage_mean,coverage_auc_mean,reachable_coverage_ceiling_mean,final_reachable_normalized_coverage_mean,reachable_normalized_coverage_auc_mean,normalized_regret_mean,normalized_regret_valid_count,spearman_mean,spearman_valid_count,ndcg_at_5_mean,ndcg_at_5_valid_count,median_policy_ms,profiling_modes,peak_process_rss_bytes,peak_process_rss_delta_bytes,peak_peak_cuda_allocated_bytes,trainable_parameter_count,frozen_parameter_count,reconstruction_object_count,reconstruction_final_view_count,final_chamfer_l1_normalized_mean,chamfer_l1_normalized_auc,final_accuracy_normalized_mean,final_completeness_normalized_mean,final_precision_1pct_mean,final_recall_1pct_mean,final_fscore_1pct_mean,final_precision_2pct_mean,final_recall_2pct_mean,final_fscore_2pct_mean
random,300,seeded_random_ranking,none,0.8510870184076302,6.184427925345356,0.9320595447834561,0.908908835368926,6.590793267387841,0.5664903434239239,2700,0.003721929994095982,2699,0.5060544350819294,2700,0.10223300023426418,"[""analytic_cpu""]",1331425280,139264,,0,0,300,10,0.21825636747372765,4.570895094949626,0.16772831059746765,0.26878442434998767,0.10859866666666666,0.03665466666666667,0.05310022798507218,0.23596166666666665,0.07511133333333334,0.10936213814152311
farthest,300,max_min_angular_distance_radians,none,0.8623288668564715,6.232580795026915,0.9320595447834561,0.9208909179705893,6.636954999307739,0.4669286310653181,2700,0.38976088739501563,2700,0.6688717556151781,2700,0.1251429998774256,"[""analytic_cpu""]",1331425280,0,,0,0,300,10,0.21965617870225956,34.99860115653596,0.16390576385883057,0.2754065935456885,0.09415066666666667,0.030939333333333336,0.044734985674514935,0.21426333333333333,0.06416966666666667,0.09437645911929883
pun,300,negative_product_of_aligned_raw_psnr_after_small_filter,official_single_image_num_psnr,0.8496807379290665,6.380081898486654,0.9320595447834561,0.9075205184191705,6.797189555791121,0.5499905865481185,2700,0.1859160388420018,2700,0.5282308646990884,2700,9.981935000269004,"[""live_model_inference_incremental""]",1331425280,220954624,102550528,0,21684144,300,10,0.32150679176617586,5.241281220607021,0.2586781559252928,0.384335427607059,0.07928666666666667,0.024978333333333335,0.03645831514368104,0.17686633333333332,0.051564000000000006,0.07642372299727214
vggt,300,negative_product_of_aligned_raw_psnr_after_small_filter,phase1_single_image_num_psnr,0.816147450195187,5.820643618426652,0.9320595447834561,0.8716175581796445,6.200049909227663,0.6879487664448901,2700,0.03757286906062612,2698,0.4395434650719056,2700,2.120097999522841,"[""cached_features_plus_live_head""]",1331425280,409600,97740800,272560,,300,10,0.3484535767501327,4.985838997320419,0.2746413894948722,0.4222657640053932,0.06242133333333333,0.017850666666666667,0.026752837185050945,0.138692,0.03728633333333333,0.05601084956861141
oracle,300,true_incremental_surface_gain,none,0.8849470611338567,6.992786477015874,0.9320595447834561,0.9458576309841548,7.456995296517579,0.0,2700,1.0,2690,0.9962962962962963,2700,0.0039025003388815094,"[""analytic_cpu""]",1331425280,0,,0,0,300,10,0.21792729181797446,4.779930588804421,0.17159553099987698,0.26425905263607186,0.11447066666666667,0.04077066666666666,0.058062342248433735,0.25437033333333336,0.08264666666666667,0.12014670804896738
