object_id,policy,acquired_view_count,history_anchor_ids,accuracy_normalized,chamfer_l1_normalized,completeness_normalized,fscore_1pct,fscore_2pct,ground_truth_diameter,precision_1pct,precision_2pct,recall_1pct,recall_2pct,alignment_mode,alignment_scale,camera_center_rmse_normalized,predicted_point_count,ground_truth_point_count,prediction_cache_hit,metric_cache_hit,ground_truth_cache_hit,prediction_cache_path,prediction_cache_sha256,metric_cache_path,evaluation_ms
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,pun,1,[0],2.4314712359847195,2.6256407501207213,2.819810264256723,0.0,0.0,1.9695251010464678,0.0,0.0,0.0,0.0,camera_rotation_center_and_target_diameter_scale_single_view,8.335381420448138,0.0,3865,10000,True,True,True,/content/cv3d-project/data/cache/reconstruction/predictions/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/0e8fc986e7ef93bd5017ac89.npz,6f577302e5cfd85874856fe4991ac9b47f96755fe8e467fdfb8fd5cf59a49288,/content/cv3d-project/data/cache/reconstruction/metrics/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/6f9514db058ca58dc31b5328.json,3.141244000289589
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,pun,2,"[0, 18]",0.028927890327218306,0.08849560967725065,0.148063329027283,0.0325059902200489,0.08664175599795815,1.9695251010464678,0.1453,0.3422,0.0183,0.0496,camera_pose_sim3,2.044287760477207,0.8482934998702252,10000,10000,True,True,True,/content/cv3d-project/data/cache/reconstruction/predictions/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/07f9f957f25a51fbd605b875.npz,953213819662ffe52c42f7a4df92313f1e65151954735cc8752a98453bb0ea9c,/content/cv3d-project/data/cache/reconstruction/metrics/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/95666a5631a75f7089964ed0.json,2.513141000235919
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,pun,3,"[0, 18, 23]",0.7716336824483571,0.7880855652828896,0.8045374481174222,0.0,0.0,1.9695251010464678,0.0,0.0,0.0,0.0,camera_pose_sim3,3.044902229119801,0.3522087687660403,10000,10000,True,True,True,/content/cv3d-project/data/cache/reconstruction/predictions/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/8d6ebc98888caf53f60189bf.npz,fea94f4dde4a222be0938966a6edb2b7e4ce7a9fe86e28771f889df9cb5081c7,/content/cv3d-project/data/cache/reconstruction/metrics/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/1d0cc2f9099499a01c36ffbb.json,2.4696709997442667
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,pun,5,"[0, 18, 23, 17, 10]",1.0075446795213734,1.03293118322385,1.0583176869263262,0.0,0.0,1.9695251010464678,0.0,0.0,0.0,0.0,camera_pose_sim3,3.130661482875194,0.6110539809291905,10000,10000,True,True,True,/content/cv3d-project/data/cache/reconstruction/predictions/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/42871014aba7f4eeba44b77b.npz,ad170b9c6462865b32e9c9a7bc9446eae8385a93883295ebe3797e5134778012,/content/cv3d-project/data/cache/reconstruction/metrics/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/df60543b7236dd099bca9c84.json,2.7030629998989752
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,pun,10,"[0, 18, 23, 17, 10, 2, 15, 9, 24, 26]",1.2260971004882042,1.2363532661420809,1.2466094317959575,0.0,0.0,1.9695251010464678,0.0,0.0,0.0,0.0,camera_pose_sim3,3.4221308825054884,0.4687004013797007,10000,10000,True,True,True,/content/cv3d-project/data/cache/reconstruction/predictions/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/fc4309295e9683bb7fc13dc9.npz,cff8f569e247b78e7a6cc7bbaaae62c90b5639a72ec41fff0e662f91b0c5be44,/content/cv3d-project/data/cache/reconstruction/metrics/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/888f203c99871b5d1fbd7f61.json,3.0478130001938553
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,vggt,1,[0],2.4314712359847195,2.6256407501207213,2.819810264256723,0.0,0.0,1.9695251010464678,0.0,0.0,0.0,0.0,camera_rotation_center_and_target_diameter_scale_single_view,8.335381420448138,0.0,3865,10000,True,True,True,/content/cv3d-project/data/cache/reconstruction/predictions/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/0e8fc986e7ef93bd5017ac89.npz,6f577302e5cfd85874856fe4991ac9b47f96755fe8e467fdfb8fd5cf59a49288,/content/cv3d-project/data/cache/reconstruction/metrics/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/6f9514db058ca58dc31b5328.json,2.9718229998252355
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,vggt,2,"[0, 5]",0.8514075586236611,1.028108065286713,1.2048085719497645,0.0,0.0,1.9695251010464678,0.0,0.0,0.0,0.0,camera_pose_sim3,0.6772301834129398,0.016387997046070697,10000,10000,False,False,True,/content/cv3d-project/data/cache/reconstruction/predictions/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/4077abe4c768c25abff8154d.npz,5a290298e5bb0e6db75bf808acd498f2f40d02bf03697f7ce40f71b75225a2ad,/content/cv3d-project/data/cache/reconstruction/metrics/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/919d504c0c386863941122ec.json,261.08458699945913
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,vggt,3,"[0, 5, 14]",0.786079582078008,0.9541079428646061,1.1221363036512042,0.0,0.0,1.9695251010464678,0.0,0.0,0.0,0.0,camera_pose_sim3,0.9148474492054984,0.36634292292318416,10000,10000,False,False,True,/content/cv3d-project/data/cache/reconstruction/predictions/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/cafac868af3de409f1631313.npz,b41e626a31ffab2ecdfe9d6f8c17aa048ddf2004da67548c3396e759c6859b94,/content/cv3d-project/data/cache/reconstruction/metrics/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/292d0d0fbe40a5875abb54e5.json,330.09255299930373
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,vggt,5,"[0, 5, 14, 22, 31]",0.7579282691661964,0.8586849826670906,0.9594416961679848,0.0,0.0,1.9695251010464678,0.0,0.0,0.0,0.0,camera_pose_sim3,1.1789157270299317,0.6888199269565766,10000,10000,False,False,True,/content/cv3d-project/data/cache/reconstruction/predictions/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/cd02cd348c584a0ed56a8201.npz,b0b1cc9fb63e5a406da8bf64d5ce25f582a46cfcbd12c4f85b4dd2946679f35f,/content/cv3d-project/data/cache/reconstruction/metrics/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/44e0e5fa890bed6e2965c609.json,476.290235000306
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,vggt,10,"[0, 5, 14, 22, 31, 23, 16, 24, 17, 25]",0.10891357100407954,0.1290200882233959,0.14912660544271222,0.0,0.0,1.9695251010464678,0.0,0.0,0.0,0.0,camera_pose_sim3,2.700568223030931,0.2607227559912669,10000,10000,False,False,True,/content/cv3d-project/data/cache/reconstruction/predictions/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/19bbbae221df3ae465a39fab.npz,053508585ab1050c1d6093c3e73286f04b0ca4ed86a256787a7f0b514bba604c,/content/cv3d-project/data/cache/reconstruction/metrics/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/b5bd903b990a53ec8ebf70ff.json,920.8038199994917
