policy,acquired_view_count,coverage_mean,reachable_normalized_coverage_mean,reachable_coverage_ceiling_mean,object_count
random,1,0.19528458213782865,0.20425834537435178,0.9320595447834561,300
random,2,0.430915863541955,0.4568171763687414,0.9320595447834561,300
random,3,0.5735606582980453,0.6107102896357154,0.9320595447834561,300
random,4,0.6719079957051936,0.7154003354460818,0.9320595447834561,300
random,5,0.7343299436782618,0.7825695706443713,0.9320595447834561,300
random,6,0.7794665901171438,0.8311743817649218,0.9320595447834561,300
random,7,0.805188261850088,0.8591966553781485,0.9320595447834561,300
random,8,0.8262528266972858,0.8819520485070793,0.9320595447834561,300
random,9,0.8396199851846531,0.896389219271144,0.9320595447834561,300
random,10,0.8510870184076302,0.908908835368926,0.9320595447834561,300
farthest,1,0.19528458213782865,0.20425834537435178,0.9320595447834561,300
farthest,2,0.3767747803017897,0.3956095594999813,0.9320595447834561,300
farthest,3,0.5649292148078154,0.5990062058995185,0.9320595447834561,300
farthest,4,0.6589732115934246,0.7011171289637046,0.9320595447834561,300
farthest,5,0.7375283065850285,0.7866935693979158,0.9320595447834561,300
farthest,6,0.826405793858842,0.8816820454100313,0.9320595447834561,300
farthest,7,0.8382393292250072,0.8945579284319105,0.9320595447834561,300
farthest,8,0.846902903357501,0.9039535587190638,0.9320595447834561,300
farthest,9,0.8540205308003553,0.9117603713131435,0.9320595447834561,300
farthest,10,0.8623288668564715,0.9208909179705893,0.9320595447834561,300
pun,1,0.19528458213782865,0.20425834537435178,0.9320595447834561,300
pun,2,0.47570865858926265,0.5041762606892921,0.9320595447834561,300
pun,3,0.6360548636331053,0.675617378814351,0.9320595447834561,300
pun,4,0.7141086325816794,0.7598431773352726,0.9320595447834561,300
pun,5,0.7585231439682489,0.8084967018324479,0.9320595447834561,300
pun,6,0.7919122869154979,0.8445944332930935,0.9320595447834561,300
pun,7,0.811578479890522,0.8659141409207882,0.9320595447834561,300
pun,8,0.828923080597207,0.8848521965643525,0.9320595447834561,300
pun,9,0.8407900922776825,0.8978058344447621,0.9320595447834561,300
pun,10,0.8496807379290665,0.9075205184191705,0.9320595447834561,300
vggt,1,0.19528458213782865,0.20425834537435178,0.9320595447834561,300
vggt,2,0.4079021847531545,0.431331093594563,0.9320595447834561,300
vggt,3,0.5537052206726687,0.5886160047981944,0.9320595447834561,300
vggt,4,0.6143043035712966,0.6538475615538396,0.9320595447834561,300
vggt,5,0.6795222949142112,0.7240602712441745,0.9320595447834561,300
vggt,6,0.7242266645949278,0.7721599869160065,0.9320595447834561,300
vggt,7,0.7532386702383821,0.8034698144301766,0.9320595447834561,300
vggt,8,0.7819868904872317,0.8345768555809474,0.9320595447834561,300
vggt,9,0.8000413730282706,0.8540503693327625,0.9320595447834561,300
vggt,10,0.816147450195187,0.8716175581796445,0.9320595447834561,300
oracle,1,0.19528458213782865,0.20425834537435178,0.9320595447834561,300
oracle,2,0.5511925027082024,0.5837468526174191,0.9320595447834561,300
oracle,3,0.7668395367580542,0.8170214231802396,0.9320595447834561,300
oracle,4,0.8162688987245721,0.8702991221736447,0.9320595447834561,300
oracle,5,0.8422874586829888,0.8985802653962196,0.9320595447834561,300
oracle,6,0.856327403588155,0.9139824909432253,0.9320595447834561,300
oracle,7,0.8661868860017766,0.9248973494250915,0.9320595447834561,300
oracle,8,0.8737206745829698,0.9332789945408478,0.9320595447834561,300
oracle,9,0.8798472943333115,0.9401308100616397,0.9320595447834561,300
oracle,10,0.8849470611338567,0.9458576309841548,0.9320595447834561,300
