policy,acquired_view_count,object_count,accuracy_normalized_mean,chamfer_l1_normalized_mean,completeness_normalized_mean,fscore_1pct_mean,fscore_2pct_mean,precision_1pct_mean,precision_2pct_mean,recall_1pct_mean,recall_2pct_mean
random,1,300,2.6650494777389895,2.8109000601424836,2.9567506425459773,0.0,0.0,0.0,0.0,0.0,0.0
random,2,300,0.572666770147326,0.6759921371055327,0.7793175040637396,0.003185666349526053,0.007583787975272799,0.025955000000000002,0.05430566666666666,0.0017416666666666665,0.004200666666666667
random,3,300,0.4575686033491515,0.5473658169652867,0.637163030581422,0.00912729930289031,0.021362862485942612,0.04367766666666667,0.09961533333333333,0.005260333333333334,0.012406
random,5,300,0.25129377258850066,0.32078950961160063,0.3902852466347006,0.026108501239489237,0.057631717871331416,0.08315766666666666,0.183058,0.016173333333333335,0.036008
random,10,300,0.16772831059746765,0.21825636747372765,0.26878442434998767,0.05310022798507218,0.10936213814152311,0.10859866666666666,0.23596166666666665,0.03665466666666667,0.07511133333333334
farthest,1,300,2.6650494777389895,2.8109000601424836,2.9567506425459773,0.0,0.0,0.0,0.0,0.0,0.0
farthest,2,300,30.690887900210054,30.607623230261765,30.52435856031348,0.01294413269887717,0.032467641832470084,0.08146992116042111,0.19060549466842694,0.007194,0.01836233333333333
farthest,3,300,0.48548001276702296,0.5985785949252356,0.7116771770834481,0.00045738138686495124,0.0011326718868465994,0.001820333333333333,0.004399333333333333,0.00026900000000000003,0.000695
farthest,5,300,0.32909728811676425,0.43957701630270063,0.5500567444886372,0.004182817411491151,0.009858024986429136,0.03970733333333334,0.09080066666666667,0.0023816666666666665,0.005619666666666667
farthest,10,300,0.16390576385883057,0.21965617870225956,0.2754065935456885,0.044734985674514935,0.09437645911929883,0.09415066666666667,0.21426333333333333,0.030939333333333336,0.06416966666666667
pun,1,300,2.6650494777389895,2.8109000601424836,2.9567506425459773,0.0,0.0,0.0,0.0,0.0,0.0
pun,2,300,0.5077803368400526,0.6154718857850573,0.723163434730062,0.003612137043839173,0.008619112337550795,0.02816133333333333,0.06518399999999999,0.002005666666666667,0.004830666666666666
pun,3,300,0.46915193669789584,0.5622806518869614,0.6554093670760269,0.00672862680499544,0.015761856758529227,0.027414666666666664,0.06394599999999999,0.003951333333333334,0.009428333333333334
pun,5,300,0.371352130116601,0.44947752785852574,0.5276029256004504,0.01657324001958719,0.036666840339093745,0.056312999999999995,0.12345333333333333,0.010345333333333333,0.023033
pun,10,300,0.2586781559252928,0.32150679176617586,0.384335427607059,0.03645831514368104,0.07642372299727214,0.07928666666666667,0.17686633333333332,0.024978333333333335,0.051564000000000006
vggt,1,300,2.6650494777389895,2.8109000601424836,2.9567506425459773,0.0,0.0,0.0,0.0,0.0,0.0
vggt,2,300,0.49680101663598075,0.6279522816851094,0.7591035467342382,0.0017091579645409586,0.0042779032121458655,0.019535,0.046656,0.0009146666666666668,0.00232
vggt,3,300,0.40112669240557947,0.49853843163535183,0.5959501708651243,0.007563407204121407,0.01745568312475423,0.03846233333333333,0.088029,0.004384,0.010223333333333334
vggt,5,300,0.29725552915718845,0.38099859892448823,0.46474166869178796,0.01672469825603698,0.03484613750333434,0.058316666666666656,0.12348066666666666,0.010152666666666666,0.021318666666666666
vggt,10,300,0.2746413894948722,0.3484535767501327,0.4222657640053932,0.026752837185050945,0.05601084956861141,0.06242133333333333,0.138692,0.017850666666666667,0.03728633333333333
oracle,1,300,2.6650494777389895,2.8109000601424836,2.9567506425459773,0.0,0.0,0.0,0.0,0.0,0.0
oracle,2,300,0.5959951090929753,0.6871115151086002,0.7782279211242252,0.005546825764617633,0.012141977003150459,0.02814133333333333,0.06067033333333333,0.0032073333333333333,0.007115333333333333
oracle,3,300,0.5380208739022938,0.6157498141809352,0.6934787544595766,0.01196873227959088,0.026239377360516406,0.043614,0.095076,0.007115333333333333,0.015696333333333333
oracle,5,300,0.2879641006199393,0.34826459794521125,0.4085650952704832,0.03269837590361526,0.07139660188469159,0.081943,0.1845913333333333,0.02127333333333333,0.046265333333333325
oracle,10,300,0.17159553099987698,0.21792729181797446,0.26425905263607186,0.058062342248433735,0.12014670804896738,0.11447066666666667,0.25437033333333336,0.04077066666666666,0.08264666666666667
