policy,acquired_view_count,coverage_mean,reachable_normalized_coverage_mean,object_count
vggt_independent_history,1,0.19528458213782865,0.20425834537435178,300
vggt_independent_history,2,0.5231963666538144,0.5539748734859734,300
vggt_independent_history,3,0.7419877851003965,0.7901710924348603,300
vggt_independent_history,4,0.7867892355756436,0.8387029097386208,300
vggt_independent_history,5,0.8172864898418477,0.8718676351100919,300
vggt_independent_history,6,0.8315027092606683,0.8872402858940643,300
vggt_independent_history,7,0.8427484174664027,0.8995264649650505,300
vggt_independent_history,8,0.8519371650619344,0.9095653737810255,300
vggt_independent_history,9,0.8582712147335358,0.9165353696023929,300
vggt_independent_history,10,0.8640339220615848,0.9229008963102907,300
vggt_joint_pose_deepsets,1,0.19528458213782865,0.20425834537435178,300
vggt_joint_pose_deepsets,2,0.5263909291501175,0.5575300867849626,300
vggt_joint_pose_deepsets,3,0.74523853304984,0.7938421330965444,300
vggt_joint_pose_deepsets,4,0.7921747735312562,0.8443842584749659,300
vggt_joint_pose_deepsets,5,0.8239928075087102,0.8790337712441582,300
vggt_joint_pose_deepsets,6,0.837698680317881,0.8938717698643223,300
vggt_joint_pose_deepsets,7,0.8469447603873899,0.9039734249536038,300
vggt_joint_pose_deepsets,8,0.8541479221888542,0.9118584009195206,300
vggt_joint_pose_deepsets,9,0.8595962361903364,0.9178578156174848,300
vggt_joint_pose_deepsets,10,0.8647698513250015,0.9235888816909809,300
