acquired_view_count_after,acquired_view_count_before,acquisition_ms,coverage_after,coverage_before,history_anchor_ids,ndcg_at_5,normalized_regret,object_id,oracle_true_gain,peak_cuda_allocated_bytes,policy,policy_ms,process_rss_bytes,process_rss_delta_bytes,profiling_mode,reachable_normalized_coverage_after,reachable_normalized_coverage_before,seed,selected_anchor,selected_true_gain,spearman,step_index,valid_candidate_mask
5,4,0.4003530002592015,0.864876248245793,0.8408507794649254,"[0, 37, 33, 11]",0.5842444838016569,0.4830904421790009,02828884/1be83cdaf803fa3b827358da75ee7655,0.040484040600245866,4028539392,vggt_joint_pose_deepsets,204.61353700011387,6244192256,0,live_joint_vggt_plus_history_head,0.8774481538885341,0.8530734491017659,0,32,0.024025468780867587,0.18266384778012687,3,"[false, true, true, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true, true, true, false, true, true, true, true, true, true, true, true, true, true]"
6,5,0.3969169997617428,0.8863471435964537,0.864876248245793,"[0, 37, 33, 11, 32]",0.6724935982626917,0.45235945756710505,02828884/1be83cdaf803fa3b827358da75ee7655,0.03629903565905203,4121629184,vggt_joint_pose_deepsets,241.3417859997935,6244196352,0,live_joint_vggt_plus_history_head,0.8992311517752064,0.8774481538885341,0,42,0.021470895350660768,0.36907278767743884,4,"[false, true, true, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, false, true, true, true, false, true, true, true, true, true, true, true, true, true, true]"
7,6,0.438165000105073,0.8947539290725259,0.8863471435964537,"[0, 37, 33, 11, 32, 42]",0.374441639463255,0.7524587854013944,02828884/1be83cdaf803fa3b827358da75ee7655,0.026509048712912153,4215296512,vggt_joint_pose_deepsets,291.15573399985806,6244196352,0,live_joint_vggt_plus_history_head,0.9077601389118957,0.8992311517752064,0,15,0.008406785476072154,-0.1005591119034114,5,"[false, true, true, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, false, true, true, true, false, true, true, true, true, false, true, true, true, true, true]"
8,7,0.43456900039018365,0.9149291982489305,0.8947539290725259,"[0, 37, 33, 11, 32, 42, 15]",0.6142105729814789,0.21170490850760487,02828884/1be83cdaf803fa3b827358da75ee7655,0.02523256595191631,4312506880,vggt_joint_pose_deepsets,338.0409679998593,6244200448,4096,live_joint_vggt_plus_history_head,0.9282286773056213,0.9077601389118957,0,25,0.020175269176404588,0.5142857142857142,6,"[false, true, true, true, true, true, true, true, true, true, true, false, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, false, true, true, true, false, true, true, true, true, false, true, true, true, true, true]"
9,8,0.41031000000657514,0.9226225000293743,0.9149291982489305,"[0, 37, 33, 11, 32, 42, 15, 25]",0.5003036715363518,0.5265777230532184,02828884/1be83cdaf803fa3b827358da75ee7655,0.014785328136468216,4405488128,vggt_joint_pose_deepsets,389.15496099980373,6244220928,4096,live_joint_vggt_plus_history_head,0.9360338094944746,0.9282286773056213,0,44,0.007693301780443787,-0.011069418386491557,7,"[false, true, true, true, true, true, true, true, true, true, true, false, true, true, true, false, true, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, false, false, true, true, true, false, true, true, true, true, false, true, true, true, true, true]"
10,9,0.4420320001372602,0.9284725201287078,0.9226225000293743,"[0, 37, 33, 11, 32, 42, 15, 25, 44]",0.5407570995196288,0.6126176533428797,02828884/1be83cdaf803fa3b827358da75ee7655,0.014260785455245601,4496722944,vggt_joint_pose_deepsets,440.21074600004795,6244225024,0,live_joint_vggt_plus_history_head,0.9419688659222378,0.9360338094944746,0,35,0.005850020099333522,0.10384615384615385,8,"[false, true, true, true, true, true, true, true, true, true, true, false, true, true, true, false, true, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, false, false, true, true, true, false, true, true, true, true, false, true, false, true, true, true]"
2,1,0.34530999982962385,0.5769910632305715,0.2045744918978715,[0],0.9445717602365294,0.021137164414698765,02828884/1bf5b1fa54aeec162701a18243b45d3,0.37964337812290266,3649128448,vggt_independent_history,2.5430880000385514,6244225024,0,cached_independent_features_plus_live_history_head,0.5846811000375811,0.20730102524080002,0,39,0.37241657133269995,0.8466697502312673,0,"[false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true]"
3,2,0.3083040001001791,0.7875187774546577,0.5769910632305715,"[0, 39]",0.8768844373985253,0.21650380479718753,02828884/1bf5b1fa54aeec162701a18243b45d3,0.2666984304235722,3649161216,vggt_independent_history,2.0701280000139377,6244225024,0,cached_independent_features_plus_live_history_head,0.7980146911191255,0.5846811000375811,0,11,0.21052771422408628,0.7191489361702127,1,"[false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, true]"
4,3,0.323536999985663,0.8863390094682904,0.7875187774546577,"[0, 39, 11]",0.7189572855176666,0.044139244268501715,02828884/1bf5b1fa54aeec162701a18243b45d3,0.10304853228800975,3649193984,vggt_independent_history,1.9679069996527687,6244225024,0,cached_independent_features_plus_live_history_head,0.8981519820438741,0.7980146911191255,0,41,0.09882023201363269,0.44967061923583657,2,"[false, true, true, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, true]"
5,4,0.2975820002575347,0.8974560006163077,0.8863390094682904,"[0, 39, 11, 41]",0.3959042681316049,0.7265819686979254,02828884/1bf5b1fa54aeec162701a18243b45d3,0.026145717751801724,3649226752,vggt_independent_history,1.807500999802869,6244225024,0,cached_independent_features_plus_live_history_head,0.9094171385215809,0.8981519820438741,0,44,0.011116991148017272,-0.11656095842142356,3,"[false, true, true, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true, false, true, true, true, true, true, true]"
