acquired_view_count_after,acquired_view_count_before,acquisition_ms,coverage_after,coverage_before,history_anchor_ids,ndcg_at_5,normalized_regret,object_id,oracle_true_gain,peak_cuda_allocated_bytes,policy,policy_ms,process_rss_bytes,process_rss_delta_bytes,profiling_mode,reachable_normalized_coverage_after,reachable_normalized_coverage_before,seed,selected_anchor,selected_true_gain,spearman,step_index,valid_candidate_mask
2,1,0.3868889998557279,0.38829646085512615,0.07964814603744022,[0],0.9036539232840257,0.11803514672717741,02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,0.34240813838295486,3649029120,vggt_independent_history,4.520183000295219,5223243776,1064960,cached_independent_features_plus_live_history_head,0.41248290417408096,0.08460931762615868,0,29,0.30864831481768595,0.7080249768732655,0,"[false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true]"
3,2,0.31005600021671853,0.6502611741890418,0.38829646085512615,"[0, 29]",0.9294216792079221,0.07403533102110584,02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,0.28022308766659115,3649061888,vggt_independent_history,1.7746369999258604,5223264256,0,cached_independent_features_plus_live_history_head,0.6907650330122831,0.41248290417408096,0,17,0.2619647133339156,0.9053962380511871,1,"[false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true]"
4,3,0.2961769996545627,0.7429886453696355,0.6502611741890418,"[0, 29, 17]",0.7901687828528894,0.21249159632237108,02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,0.11202328402827992,3649094656,vggt_independent_history,1.6238690000136558,5223276544,0,cached_independent_features_plus_live_history_head,0.7892683686467539,0.6907650330122831,0,35,0.09272747118059382,0.4159420289855072,2,"[false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true]"
5,4,0.2890460000344319,0.8436086144717743,0.7429886453696355,"[0, 29, 17, 35]",0.9726888799495025,0.0792177665876139,02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,0.10869243219399025,3649127424,vggt_independent_history,1.8230040000162262,5223297024,0,cached_independent_features_plus_live_history_head,0.8961558148566788,0.7892683686467539,0,23,0.10061996910213866,0.7908386187455956,3,"[false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, false, true, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true]"
6,5,0.29507399995054584,0.8531625684041033,0.8436086144717743,"[0, 29, 17, 35, 23]",0.564092536453206,0.7808161100724937,02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,0.022504118738396285,3649160192,vggt_independent_history,1.6807069996502833,5223309312,0,cached_independent_features_plus_live_history_head,0.9063048712134474,0.8961558148566788,0,36,0.00955395393232904,0.2517366354575657,4,"[false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true, true, true, true, true, false, true, true, true, true, true, false, true, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true]"
7,6,0.28046199986420106,0.8686729461292315,0.8531625684041033,"[0, 29, 17, 35, 23, 36]",0.7751880904624864,0.17258809129755914,02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,0.017995971765851024,3649192960,vggt_independent_history,1.6060499997365696,5223325696,0,cached_independent_features_plus_live_history_head,0.922781368668017,0.9063048712134474,0,9,0.015510377725128323,0.44656024633336033,5,"[false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true, true, true, true, true, false, true, true, true, true, true, false, true, true, true, true, true, false, false, true, true, true, true, true, true, true, true, true, true, true]"
8,7,0.29569599973910954,0.8827605720509692,0.8686729461292315,"[0, 29, 17, 35, 23, 36, 9]",0.8884653189427825,0.06628867692223674,02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,0.014894022096653923,3649225728,vggt_independent_history,1.6054800003075798,5223333888,0,cached_independent_features_plus_live_history_head,0.9377464930997962,0.922781368668017,0,31,0.014087625921737554,0.431184668989547,6,"[false, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, false, true, true, true, true, true, false, true, true, true, true, true, false, true, true, true, true, true, false, false, true, true, true, true, true, true, true, true, true, true, true]"
9,8,0.2813349997268233,0.8854344327686308,0.8827605720509692,"[0, 29, 17, 35, 23, 36, 9, 31]",0.6120371206374021,0.8818955767252393,02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,0.009189758519549313,3649258496,vggt_independent_history,1.606880000053934,5223346176,0,cached_independent_features_plus_live_history_head,0.940586904860823,0.9377464930997962,0,28,0.002673860717661623,0.374484052532833,7,"[false, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, false, true, true, true, true, true, false, true, true, true, true, true, false, true, false, true, true, true, false, false, true, true, true, true, true, true, true, true, true, true, true]"
10,9,0.2778210000542458,0.8885428889194549,0.8854344327686308,"[0, 29, 17, 35, 23, 36, 9, 31, 28]",0.4931230160622041,0.7966121166302907,02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,0.008457437989952219,3649291264,vggt_independent_history,1.618144000076427,5223366656,0,cached_independent_features_plus_live_history_head,0.9438889823965441,0.940586904860823,0,7,0.00310845615082398,-0.002226720647773279,8,"[false, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, false, true, true, true, true, true, false, true, true, true, true, false, false, true, false, true, true, true, false, false, true, true, true, true, true, true, true, true, true, true, true]"
2,1,0.44224099974599085,0.39583345547045257,0.07964814603744022,[0],0.9522693950739901,0.09168340162453954,02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,0.34240813838295486,3744029696,vggt_joint_history,548.6840070002472,5299212288,75624448,live_joint_vggt_plus_history_head,0.4204893676397219,0.08460931762615868,0,25,0.3161853094330123,0.7627197039777983,0,"[false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true]"
