policy,history_length,sample_count,huber_loss,normalized_regret_mean,spearman_mean,ndcg_at_5_mean
vggt_independent_history,1,2400,0.012779865587751071,0.07352336859675303,0.8365110911964231,0.9398734104404524
vggt_joint_history,1,2400,0.010142240255663636,0.06793540397123948,0.8437960125655257,0.9457851723602649
vggt_independent_history,2,2400,0.009595456875831587,0.08045234602425441,0.8186765854661322,0.929656103969888
vggt_joint_history,2,2400,0.009281851539223377,0.09397289672659646,0.7893276801315653,0.913126457901695
vggt_independent_history,4,2400,0.007058351344797605,0.15312494687382908,0.7245305943632836,0.8645734324384631
vggt_joint_history,4,2400,0.007522931541025173,0.1746094276550087,0.6826900591828202,0.8426676666981318
vggt_independent_history,6,2400,0.005893686896257956,0.24476499987749206,0.6229876040328539,0.7874191803958173
vggt_joint_history,6,2400,0.0061547060628557426,0.2853504070684871,0.5476719788724504,0.7505302055918478
vggt_independent_history,8,2400,0.005224169184657512,0.32696594081886277,0.530155837041078,0.7228750418201028
vggt_joint_history,8,2400,0.00531210803053303,0.3708531921914921,0.4426185165148404,0.6809834442802347
