object_id,policy,seed,coverage_target,stop_reason,acquired_views,initial_coverage,final_coverage,coverage_auc,reachable_coverage_ceiling,initial_reachable_normalized_coverage,final_reachable_normalized_coverage,reachable_normalized_coverage_auc,coverage_interval_start,coverage_interval_end,num_steps,normalized_regret_mean,normalized_regret_valid_count,spearman_mean,spearman_valid_count,ndcg_at_5_mean,ndcg_at_5_valid_count,median_policy_ms,peak_process_rss_bytes,peak_process_rss_delta_bytes,peak_cuda_allocated_bytes
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,vggt_independent_history,0,vis_a,view_budget_exhausted,10,0.07964814603744022,0.8885428889194549,6.59928093171696,0.941363767869644,0.08460931762615868,0.9438889823965441,7.010340908543231,1,10,9,0.35355337914512086,9,0.48021563836900977,9,0.769871038650269,9,1.6238690000136558,5223366656,1064960,3649291264
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,vggt_joint_history,0,vis_a,view_budget_exhausted,10,0.07964814603744022,0.8919075410218691,6.380467208469108,0.941363767869644,0.08460931762615868,0.9474632139712611,6.777897584595212,1,10,9,0.313105830421159,9,0.48900971969372453,9,0.7821918052692313,9,294.72102099998665,5299261440,75624448,4496655872
02691156/162ed8d0d989f3acc1ccec171a275967,vggt_independent_history,0,vis_a,view_budget_exhausted,10,0.14497312553920544,0.9236389291591339,7.1269628073808775,0.9762990062799165,0.14849254645009843,0.9460615274807682,7.299979577504037,1,10,9,0.35228294067222976,9,0.18780084039007983,9,0.7399502002607503,9,1.7604909999135998,5299269632,0,3649323520
02691156/162ed8d0d989f3acc1ccec171a275967,vggt_joint_history,0,vis_a,view_budget_exhausted,10,0.14497312553920544,0.9220147475536478,7.105923280669245,0.9762990062799165,0.14849254645009843,0.9443979166453184,7.27842928750446,1,10,9,0.4246908355316529,9,0.26276250647779964,9,0.6671462040600202,9,245.1060960001996,5299351552,4096,4496655872
02691156/1659db64bbf46bcdc1955ee4b5680e91,vggt_independent_history,0,vis_a,view_budget_exhausted,10,0.09615501137793364,0.7933240900095233,5.861578355299936,0.8741666209605004,0.10999620561155977,0.9075204554686035,6.705333073527173,1,10,9,0.2867034348879596,9,0.688264461298887,9,0.8407210335669435,9,1.6171629999917059,5299359744,0,3649323520
02691156/1659db64bbf46bcdc1955ee4b5680e91,vggt_joint_history,0,vis_a,view_budget_exhausted,10,0.09615501137793364,0.7947693312848159,5.857704729830505,0.8741666209605004,0.10999620561155977,0.9091737344209667,6.700901852548759,1,10,9,0.3019664041994111,9,0.5922023148285283,9,0.8055847375805493,9,244.9178279998705,5299396608,4096,4496655872
02691156/165c4491d10067b3bd46d022fd7d80aa,vggt_independent_history,0,vis_a,view_budget_exhausted,10,0.09221828982360161,0.9388804990522315,7.053280138442631,0.9835397706830906,0.09376162771694928,0.9545933240708281,7.17132173876809,1,10,9,0.36204335012843947,9,0.5669088948152026,9,0.830031760613154,9,1.6916039999159693,5299412992,0,3649323520
02691156/165c4491d10067b3bd46d022fd7d80aa,vggt_joint_history,0,vis_a,view_budget_exhausted,10,0.09221828982360161,0.9384393797087116,6.942113042141495,0.9835397706830906,0.09376162771694928,0.9541448222850656,7.058294182979546,1,10,9,0.31673814806452505,9,0.570065077223116,9,0.8460305141758336,9,247.5752969999121,5299449856,4096,4496655872
02691156/1667ab313638fb366cf1b4a8fc3914e,vggt_independent_history,0,vis_a,view_budget_exhausted,10,0.08599246005281433,0.9072255822489603,6.834015810044507,0.9687575041274639,0.08876572278040377,0.93648366942569,7.054413288080526,1,10,9,0.39258198432437014,9,0.43902777541886207,9,0.7997278856050593,9,1.5981200003807317,5299453952,0,3649323520
02691156/1667ab313638fb366cf1b4a8fc3914e,vggt_joint_history,0,vis_a,view_budget_exhausted,10,0.08599246005281433,0.9158351926144718,6.903724711454464,0.9687575041274639,0.08876572278040377,0.9453709403152878,7.126370306336341,1,10,9,0.14885824234915807,9,0.5308211858356013,9,0.8705124706167453,9,251.42262300005314,5299490816,4096,4496655872
02691156/16689e54c884aa01639c7058eaf33ae,vggt_independent_history,0,vis_a,view_budget_exhausted,10,0.08070994475165805,0.7861258933991239,5.878672527816719,0.8986300821812551,0.08981442570423402,0.8748047822870023,6.5418158643736355,1,10,9,0.35422404931396545,9,0.2731588496406149,9,0.742664438929412,9,1.668987000357447,5299494912,0,3649323520
02691156/16689e54c884aa01639c7058eaf33ae,vggt_joint_history,0,vis_a,view_budget_exhausted,10,0.08070994475165805,0.7846067162259027,5.9725725653353665,0.8986300821812551,0.08981442570423402,0.8731142344149195,6.646308290546064,1,10,9,0.45167979230132843,9,0.2540932255766059,9,0.7015266074958952,9,246.44331399986186,5299523584,0,4496655872
02691156/166d333d38897d1513d521050081b441,vggt_independent_history,0,vis_a,view_budget_exhausted,10,0.14208135162895985,0.8363396222355789,6.142575719793507,0.9283641770283879,0.1530448450561177,0.9008745090882637,6.616558320308471,1,10,9,0.4065919851455582,9,0.4432883664069803,9,0.6875932679506793,9,1.5956850002112333,5299527680,0,3649323520
02691156/166d333d38897d1513d521050081b441,vggt_joint_history,0,vis_a,view_budget_exhausted,10,0.14208135162895985,0.8355572155052389,6.129303388371134,0.9283641770283879,0.1530448450561177,0.9000317291214144,6.602261849429063,1,10,9,0.3937630109673588,9,0.42293513298053464,9,0.7420646048568806,9,247.6584199998797,5299556352,4096,4496655872
02691156/16715d886ecf0a97ce2cec85ea6ae00d,vggt_independent_history,0,vis_a,view_budget_exhausted,10,0.13740721302201397,0.7416951213044825,5.600219497934873,0.8347159587871376,0.16461553367407755,0.8885598909384498,6.709131937613996,1,10,9,0.47695084444739577,9,0.27767757523338377,9,0.6336851515307331,9,1.5864819997659652,5299568640,0,3649323520
02691156/16715d886ecf0a97ce2cec85ea6ae00d,vggt_joint_history,0,vis_a,view_budget_exhausted,10,0.13740721302201397,0.7531183109656214,5.654750455038904,0.8347159587871376,0.16461553367407755,0.9022450128543373,6.774460695893957,1,10,9,0.32114157891025086,9,0.46157116977666796,9,0.7726066533818339,9,249.17032900020786,5299597312,0,4496655872
02691156/167250e2014c72dbb87697d3904b168b,vggt_independent_history,0,vis_a,view_budget_exhausted,10,0.11972974763032487,0.8708114697831189,6.651169735273602,0.9253877893979147,0.12938332340458553,0.9410232982971336,7.187440564350926,1,10,9,0.1733834466486267,9,0.6362518600737243,9,0.8918440087716698,9,1.587525000104506,5299597312,0,3649323520
02691156/167250e2014c72dbb87697d3904b168b,vggt_joint_history,0,vis_a,view_budget_exhausted,10,0.11972974763032487,0.87026449127265,6.487596842402228,0.9253877893979147,0.12938332340458553,0.9404322179773633,7.010679108510017,1,10,9,0.34286738905442116,9,0.55958563753738,9,0.7984444895765588,9,243.41416300012497,5299630080,4096,4496655872
02691156/167740d2a5f5cb6c7f4561609781d8c9,vggt_independent_history,0,vis_a,view_budget_exhausted,10,0.06662256831444521,0.8578265813858796,6.733909455468063,0.8951369303341754,0.07442723683579167,0.9583188362764041,7.522770234665815,1,10,9,0.24643801439796706,9,0.5664816415725468,9,0.794814882884864,9,1.595809999798803,5299642368,0,3649323520
02691156/167740d2a5f5cb6c7f4561609781d8c9,vggt_joint_history,0,vis_a,view_budget_exhausted,10,0.06662256831444521,0.8522760850638671,6.6427759550359795,0.8951369303341754,0.07442723683579167,0.952118113086556,7.420960670850745,1,10,9,0.3732200058946418,9,0.406634606210379,9,0.728495836487402,9,244.6201090001523,5299691520,0,4496655872
02828884/1b9ddee986099bb78880edc6251fa529,vggt_independent_history,0,vis_a,view_budget_exhausted,10,0.17948997164644076,0.9483631165323594,7.692155103914496,0.9924067194406581,0.1808633175595639,0.9556194027655087,7.751010702799314,1,10,9,0.583602260898632,9,0.33732481589674723,9,0.5563114817386603,9,1.7646289998083375,5299703808,0,3649323520
02828884/1b9ddee986099bb78880edc6251fa529,vggt_joint_history,0,vis_a,view_budget_exhausted,10,0.17948997164644076,0.960898419150484,7.689099398521292,0.9924067194406581,0.1808633175595639,0.968250617742761,7.747931617044104,1,10,9,0.5445566010118486,9,0.26598360661303516,9,0.558101789402633,9,245.0207080000837,5299732480,4096,4496655872
02828884/1bace34d2c1dc49b3b5ee89f1f802f5a,vggt_independent_history,0,vis_a,view_budget_exhausted,10,0.32821131666750597,0.9753503154823902,7.834710178559862,0.9966009318543814,0.3293307342757559,0.9786769049749431,7.861431720700652,1,10,9,0.2483148230783465,9,0.5834025434925886,9,0.7830184792119064,9,1.6591149997111643,5299748864,0,3649323520
02828884/1bace34d2c1dc49b3b5ee89f1f802f5a,vggt_joint_history,0,vis_a,view_budget_exhausted,10,0.32821131666750597,0.9640893225068312,7.83006642406202,0.9966009318543814,0.3293307342757559,0.9673775045673942,7.85677212792945,1,10,9,0.36243806359177416,9,0.42447288071202727,9,0.7222764481541959,9,245.82217699980902,5299757056,0,4496655872
02828884/1bb14f4633ad52e3ae944a46a2846086,vggt_independent_history,0,vis_a,view_budget_exhausted,10,0.24701657759424817,0.8662364111900945,6.959735794548484,0.9516617427868137,0.2595634210017661,0.9102356144457772,7.313245328290524,1,10,9,0.5543329919818432,9,0.2951135533562966,9,0.5408874987354821,9,1.6181010000764218,5299781632,0,3649323520
02828884/1bb14f4633ad52e3ae944a46a2846086,vggt_joint_history,0,vis_a,view_budget_exhausted,10,0.24701657759424817,0.8918334820111583,6.998500612175134,0.9516617427868137,0.2595634210017661,0.9371328507958548,7.353979147759962,1,10,9,0.43724528555680275,9,0.4276028317471388,9,0.6317521423685162,9,244.850291000148,5299806208,4096,4496655872
02828884/1bdfb8796887adf92056b4bd5d870b47,vggt_independent_history,0,vis_a,view_budget_exhausted,10,0.451846130725702,0.989857533725046,8.35690036155397,0.9992336400936923,0.4521926730602615,0.9906167026484746,8.363309666766616,1,10,9,0.3209076643780739,9,0.5557559124519584,9,0.7876284704276871,9,1.5982820000317588,5299810304,0,3649323520
02828884/1bdfb8796887adf92056b4bd5d870b47,vggt_joint_history,0,vis_a,view_budget_exhausted,10,0.451846130725702,0.9897550747961206,8.321337767935974,0.9992336400936923,0.4521926730602615,0.9905141651389129,8.32771979850051,1,10,9,0.31945288478355144,9,0.5511119450826949,9,0.7767480017782155,9,245.2593410002919,5299826688,0,4496655872
02828884/1be0e167a93a1069acb4ead41419080a,vggt_independent_history,0,vis_a,view_budget_exhausted,10,0.26427571578185466,0.9897851873526126,7.894025019293016,0.9989425039883563,0.2645554821490858,0.9908329892869886,7.902381756482983,1,10,9,0.6119871182709904,9,0.19355755841822134,9,0.4373896965055741,9,1.7111619999923278,5299826688,0,3649323520
02828884/1be0e167a93a1069acb4ead41419080a,vggt_joint_history,0,vis_a,view_budget_exhausted,10,0.26427571578185466,0.9735705270502792,7.911188458585152,0.9989425039883563,0.2645554821490858,0.9746011638940405,7.919563365257872,1,10,9,0.6666883131173249,9,0.17451672336315383,9,0.37118296196811873,9,243.06129400019927,5299859456,4096,4496655872
02828884/1be83cdaf803fa3b827358da75ee7655,vggt_independent_history,0,vis_a,view_budget_exhausted,10,0.28556442886228633,0.9288087662712552,7.282648084738856,0.9856721954601797,0.28971541469622686,0.9423099997637888,7.388509200402893,1,10,9,0.3458527501005555,9,0.38378516325046985,9,0.7269645425727966,9,1.6870499998731248,5299871744,0,3649323520
02828884/1be83cdaf803fa3b827358da75ee7655,vggt_joint_history,0,vis_a,view_budget_exhausted,10,0.28556442886228633,0.9357337133735486,7.277109459637348,0.9856721954601797,0.28971541469622686,0.9493356084135899,7.382890065433864,1,10,9,0.34181619030484245,9,0.5144087475655497,9,0.7123765535287644,9,245.56678299995838,5299896320,0,4496655872
02828884/1bf5b1fa54aeec162701a18243b45d3,vggt_independent_history,0,vis_a,view_budget_exhausted,10,0.2045744918978715,0.9369316161656573,7.4149885832004285,0.9868474681214847,0.20730102524080002,0.9494188782276102,7.513814264848085,1,10,9,0.4947010522500699,9,0.3557463940945643,9,0.5865361015523992,9,1.576403999933973,5299916800,0,3649323520
02828884/1bf5b1fa54aeec162701a18243b45d3,vggt_joint_history,0,vis_a,view_budget_exhausted,10,0.2045744918978715,0.939037093436596,7.371634683293857,0.9868474681214847,0.20730102524080002,0.9515524169344041,7.469882551683641,1,10,9,0.44829025772485653,9,0.2794086495457187,9,0.5574271810985005,9,243.71495999957915,5299957760,0,4496655872
02828884/1c310698c57a3d378fd6b27be619556b,vggt_independent_history,0,vis_a,view_budget_exhausted,10,0.3583522628834148,0.9865317208133921,8.154826797284583,0.9974126388039685,0.3592818548129962,0.9890908561138507,8.17598101329788,1,10,9,0.27967036873310525,9,0.6034322786591847,9,0.8138190577987159,9,1.6134469997268752,5299965952,0,3649323520
02828884/1c310698c57a3d378fd6b27be619556b,vggt_joint_history,0,vis_a,view_budget_exhausted,10,0.3583522628834148,0.9855898689115334,8.114596143155635,0.9974126388039685,0.3592818548129962,0.9881465609794036,8.13564599791529,1,10,9,0.314702289937598,9,0.403815144764803,9,0.7545772336577471,9,244.71317699999418,5299986432,4096,4496655872
02828884/1c47c37d6c785d4fe7fd9a18c19837e5,vggt_independent_history,0,vis_a,view_budget_exhausted,10,0.3551392472086734,0.9749201835380004,7.876414684278975,0.9972054972451736,0.3561344659548729,0.9776522354030965,7.898487028037787,1,10,9,0.40263051518133497,9,0.4772516938021446,9,0.7141029240357258,9,1.6202140000132204,5299986432,0,3649323520
02828884/1c47c37d6c785d4fe7fd9a18c19837e5,vggt_joint_history,0,vis_a,view_budget_exhausted,10,0.3551392472086734,0.9613272229262831,7.794131635831832,0.9972054972451736,0.3561344659548729,0.9640211827772652,7.815973395015853,1,10,9,0.4577376147344016,9,0.25983577416151477,9,0.6280040728758896,9,245.36335399989184,5300027392,4096,4496655872
02828884/1c79aa69e4ec26b65dc236dd32108e81,vggt_independent_history,0,vis_a,view_budget_exhausted,10,0.4037709558774869,0.9782873513251512,7.979244895698973,0.9986528186857122,0.4043156423559431,0.9796070596512578,7.990008886371687,1,10,9,0.2750778377410511,9,0.5365830076233263,9,0.7676329874426355,9,1.6469279999000719,5300031488,0,3649323520
02828884/1c79aa69e4ec26b65dc236dd32108e81,vggt_joint_history,0,vis_a,view_budget_exhausted,10,0.4037709558774869,0.9739845028670686,7.957969909260333,0.9986528186857122,0.4043156423559431,0.9752984066563707,7.968705200004847,1,10,9,0.4087063805090911,9,0.4022475394919734,9,0.7189713422510374,9,243.7753789999988,5300068352,4096,4496655872
02933112/18d94e539b0ed30d105e720ebc569399,vggt_independent_history,0,vis_a,view_budget_exhausted,10,0.22687022825688632,0.980970358588844,7.997600469914658,0.9954454667124282,0.22790824394042503,0.9854586628724225,8.034192466944113,1,10,9,0.3068503210187536,9,0.5366450139557308,9,0.754469381337066,9,1.6671540001880203,5300068352,0,3649323520
