policy,acquired_view_count,object_count,accuracy_normalized_mean,chamfer_l1_normalized_mean,completeness_normalized_mean,fscore_10pct_mean,fscore_1pct_mean,fscore_2pct_mean,precision_10pct_mean,precision_1pct_mean,precision_2pct_mean,recall_10pct_mean,recall_1pct_mean,recall_2pct_mean
vggt_independent_history,1,300,2.6650494777389895,2.8109000601424836,2.9567506425459773,0.0001649049311140203,0.0,0.0,0.0016956666666666667,0.0,0.0,8.666666666666667e-05,0.0,0.0
vggt_independent_history,2,300,0.6546843360326989,0.7405881412732477,0.8264919465137963,0.0937332754166954,0.005872735296083406,0.012719717066458967,0.24127,0.030944000000000003,0.06988933333333333,0.06313533333333333,0.003371666666666667,0.00736
vggt_independent_history,3,300,0.4505056467518556,0.531590590782358,0.6126755348128606,0.11823611751557275,0.00995195545147614,0.021748556846665743,0.22818533333333335,0.03230366666666666,0.071404,0.08731333333333334,0.006158666666666667,0.013541333333333334
vggt_independent_history,5,300,0.20968101303102438,0.26166887159577146,0.3136567301605186,0.3811703130016389,0.03951272665329429,0.08422133094650341,0.5791213333333334,0.09790566666666668,0.21727466666666667,0.30342800000000003,0.025610666666666664,0.05468699999999999
vggt_independent_history,10,300,0.16420642678865713,0.19883652271048383,0.2334666186323105,0.5583287315675327,0.07326302555868346,0.15098364323837352,0.7088173333333333,0.12921466666666664,0.285666,0.47458933333333336,0.052860000000000004,0.10604166666666667
vggt_joint_history,1,300,2.6650494777389895,2.8109000601424836,2.9567506425459773,0.0001649049311140203,0.0,0.0,0.0016956666666666667,0.0,0.0,8.666666666666667e-05,0.0,0.0
vggt_joint_history,2,300,0.7132257587561209,0.8025892298646751,0.8919527009732292,0.0951805337409129,0.0050754319644940454,0.011486274978774845,0.267175,0.032176666666666666,0.07161999999999999,0.06370566666666666,0.0029123333333333336,0.006703666666666666
vggt_joint_history,3,300,0.4408734307876142,0.5208169269457709,0.6007604231039272,0.11606816951144959,0.008236795692244683,0.01790258475969579,0.23973999999999998,0.030842666666666668,0.06794866666666666,0.08482100000000001,0.005020666666666666,0.011029333333333334
vggt_joint_history,5,300,0.2641100875488151,0.31546339430824694,0.36681670106767883,0.3692417497890605,0.03136614356682919,0.07171454725910172,0.5598336666666667,0.08027366666666667,0.18528133333333335,0.2921303333333333,0.02006566666666667,0.046295333333333334
vggt_joint_history,10,300,0.1761750454998795,0.21127924611402968,0.24638344672817983,0.5799616428017859,0.0760400935304446,0.1565347674631657,0.735471,0.13354466666666667,0.29782366666666665,0.4944876666666666,0.054974666666666665,0.11031433333333335
