policy,acquired_view_count,coverage_mean,object_count
random,1,0.16200278198025575,3
random,2,0.5552197499248781,3
random,3,0.7346461770926848,3
random,4,0.7853324398545155,3
random,5,0.8393680354677451,3
random,6,0.8606751884727899,3
random,7,0.9018713936874249,3
random,8,0.9125709659486331,3
random,9,0.9281734511651596,3
random,10,0.9308290813745801,3
oracle,1,0.16200278198025575,3
oracle,2,0.6174042505555072,3
oracle,3,0.8294319180340541,3
oracle,4,0.8933153515468296,3
oracle,5,0.9180325691024676,3
oracle,6,0.9324122173354215,3
oracle,7,0.9412721640870118,3
oracle,8,0.9479321380080004,3
oracle,9,0.9522029469018447,3
oracle,10,0.9554510040569012,3
