object_id,policy,acquired_view_count,history_anchor_ids,accuracy_normalized,completeness_normalized,chamfer_l1_normalized,ground_truth_diameter,precision_1pct,recall_1pct,fscore_1pct,precision_2pct,recall_2pct,fscore_2pct,alignment_mode,alignment_scale,camera_center_rmse_normalized,predicted_point_count,ground_truth_point_count,prediction_cache_hit,metric_cache_hit,ground_truth_cache_hit,prediction_cache_path,prediction_cache_sha256,metric_cache_path,evaluation_ms
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,vggt_independent_history,1,[0],2.4314712359847195,2.819810264256723,2.6256407501207213,1.9695251010464678,0.0,0.0,0.0,0.0,0.0,0.0,camera_rotation_center_and_target_diameter_scale_single_view,8.335381420448138,0.0,3865,10000,True,False,True,/content/cv3d-project/data/cache/reconstruction/predictions/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/0e8fc986e7ef93bd5017ac89.npz,6f577302e5cfd85874856fe4991ac9b47f96755fe8e467fdfb8fd5cf59a49288,/content/cv3d-project/data/cache/reconstruction/metrics/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/6f9514db058ca58dc31b5328.json,41.36422000010498
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,vggt_independent_history,2,"[0, 29]",1.2070110255391446,1.2679472292478233,1.237479127393484,1.9695251010464678,0.0,0.0,0.0,0.0,0.0,0.0,camera_pose_sim3,3.0799747379755336,0.3281249505316808,10000,10000,True,False,True,/content/cv3d-project/data/cache/reconstruction/predictions/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/9dbaafd7b988e1ebe517ebce.npz,ac87a4f0d8caf26f80c504590c734154d8116aacdb91b51196ea836998e04b76,/content/cv3d-project/data/cache/reconstruction/metrics/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/2dcd518d335df3198fbbc85d.json,13.58340099977795
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,vggt_independent_history,3,"[0, 29, 17]",0.5083978675652929,0.5356292923367452,0.522013579951019,1.9695251010464678,0.0,0.0,0.0,0.0,0.0,0.0,camera_pose_sim3,3.015475661431647,0.16680119297282966,10000,10000,True,False,True,/content/cv3d-project/data/cache/reconstruction/predictions/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/ee3e3bd9fca9dc3ac3e24c9c.npz,1f0283fe8cadc1e60fda3104c474be8e887dff25f1b82009335ca57d87cf341d,/content/cv3d-project/data/cache/reconstruction/metrics/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/665ca9cb642e9dfbd6023132.json,13.301828000294336
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,vggt_independent_history,5,"[0, 29, 17, 35, 23]",0.015312098499908796,0.06590588758422081,0.0406089930420648,1.9695251010464678,0.3433,0.1281,0.18657925328807806,0.8086,0.2602,0.3937083083832335,camera_pose_sim3,2.9974347542494564,0.31148411851953167,10000,10000,True,False,True,/content/cv3d-project/data/cache/reconstruction/predictions/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/fc7403138f4a70d58d485613.npz,9c44f7818acf08271f047f46a9522e6eb078899754ba11d004c5e7c773bcf5b8,/content/cv3d-project/data/cache/reconstruction/metrics/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/4ee482e52a956af40709a2cb.json,12.784261999513546
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,vggt_independent_history,10,"[0, 29, 17, 35, 23, 36, 9, 31, 28, 7]",0.06743778611708094,0.09349604028276051,0.08046691319992072,1.9695251010464678,0.0,0.0,0.0,0.0035,0.0106,0.0052624113475177306,camera_pose_sim3,2.9052027981424327,0.22152383087941177,10000,10000,True,False,True,/content/cv3d-project/data/cache/reconstruction/predictions/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/768a555fbd8536ee58330ba0.npz,284b842b5638a7161a21705e6d77ad6c7ff6883b275655160f26660e8dcde6fb,/content/cv3d-project/data/cache/reconstruction/metrics/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/9c234ae497543fa45e0cdcc3.json,12.97203099966282
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,vggt_joint_pose_deepsets,1,[0],2.4314712359847195,2.819810264256723,2.6256407501207213,1.9695251010464678,0.0,0.0,0.0,0.0,0.0,0.0,camera_rotation_center_and_target_diameter_scale_single_view,8.335381420448138,0.0,3865,10000,True,True,True,/content/cv3d-project/data/cache/reconstruction/predictions/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/0e8fc986e7ef93bd5017ac89.npz,6f577302e5cfd85874856fe4991ac9b47f96755fe8e467fdfb8fd5cf59a49288,/content/cv3d-project/data/cache/reconstruction/metrics/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/6f9514db058ca58dc31b5328.json,2.917428999353433
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,vggt_joint_pose_deepsets,2,"[0, 26]",0.43435492234681133,0.5354571537743565,0.48490603806058397,1.9695251010464678,0.0,0.0,0.0,0.0,0.0,0.0,camera_pose_sim3,3.3496289255861487,0.08231123045073954,10000,10000,True,False,True,/content/cv3d-project/data/cache/reconstruction/predictions/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/a68887eab33fbfe8984d7e38.npz,b3fb074cc3194bee7b2bf6013947ca98032b944ae41d9cf0b2f5be56284524c8,/content/cv3d-project/data/cache/reconstruction/metrics/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/082a7ba181462a8159fd004f.json,10.652595999999903
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,vggt_joint_pose_deepsets,3,"[0, 26, 31]",0.10150347951640412,0.1354799032736025,0.1184916913950033,1.9695251010464678,0.0,0.0,0.0,0.0,0.0,0.0,camera_pose_sim3,2.652188485416466,0.0808372368555243,10000,10000,True,False,True,/content/cv3d-project/data/cache/reconstruction/predictions/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/7d13fa15fc2d6e1950307231.npz,75b5e93e8f85436d42b2aae3be268a7de401a9b4385a1d69a0ad329e107c9cc5,/content/cv3d-project/data/cache/reconstruction/metrics/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/84f599e87f74ebf51f9243bb.json,11.002019000443397
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,vggt_joint_pose_deepsets,5,"[0, 26, 31, 29, 17]",0.04432967837476405,0.08715224399068278,0.0657409611827234,1.9695251010464678,0.0282,0.0112,0.016032487309644673,0.0937,0.0433,0.059229343065693434,camera_pose_sim3,2.668675525197895,0.20415167386548658,10000,10000,True,False,True,/content/cv3d-project/data/cache/reconstruction/predictions/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/92a5024d4773999729c956a5.npz,32305f85d5f4b4a6ac2ab1d7d0b3fd66b8814ce17769f6c5844d12cb6460f3ab,/content/cv3d-project/data/cache/reconstruction/metrics/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/3631326c1ea27794e474cf0a.json,10.859574999813049
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,vggt_joint_pose_deepsets,10,"[0, 26, 31, 29, 17, 6, 35, 33, 15, 44]",0.023507644054200562,0.06288099041382933,0.04319431723401494,1.9695251010464678,0.2693,0.1029,0.14890365394948954,0.4308,0.176,0.24990375741595253,camera_pose_sim3,2.732804212925029,0.2884767879857477,10000,10000,True,False,True,/content/cv3d-project/data/cache/reconstruction/predictions/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/9976ccad23c3a41e8803e3c9.npz,2243abb3a1eba4115ae6af1d3b942ef177f4c9767d1d7e316cd4e109354c1bc7,/content/cv3d-project/data/cache/reconstruction/metrics/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/611894f3f4422cdf2d94f912.json,11.330105000524782
