policy,acquired_view_count,coverage_mean,object_count
random,1,0.10455378581783972,10
random,2,0.3641356430842019,10
random,3,0.5332322564044811,10
random,4,0.6574104594914995,10
random,5,0.7053116520541772,10
random,6,0.7461009874635838,10
random,7,0.785931167186493,10
random,8,0.7978295953746628,10
random,9,0.8220301932963997,10
random,10,0.8317217876689144,10
oracle,1,0.10455378581783972,10
oracle,2,0.4435892862857509,10
oracle,3,0.6963037054703137,10
oracle,4,0.7727192317182211,10
oracle,5,0.8183196329648851,10
oracle,6,0.8357565779656013,10
oracle,7,0.8476182456810599,10
oracle,8,0.8566683867128644,10
oracle,9,0.8639428151267102,10
oracle,10,0.8700051731292671,10
