object_id,policy,seed,coverage_target,stop_reason,acquired_views,initial_coverage,final_coverage,coverage_auc,coverage_interval_start,coverage_interval_end,num_steps,normalized_regret_mean,normalized_regret_valid_count,spearman_mean,spearman_valid_count,ndcg_at_5_mean,ndcg_at_5_valid_count,median_policy_ms
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,random,0,vis_a,view_budget_exhausted,10,0.07964814603744022,0.8672489327010197,6.452284400685837,1,10,9,0.5202208473890657,9,0.02000310136126736,9,0.5217147830583208,9,0.10339800064684823
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,oracle,0,vis_a,view_budget_exhausted,10,0.07964814603744022,0.9017307566143992,6.792495377049188,1,10,9,0.0,9,1.0,9,1.0,9,0.0022000021999701858
02691156/162ed8d0d989f3acc1ccec171a275967,random,0,vis_a,view_budget_exhausted,10,0.14497312553920544,0.8852237962951839,6.422842791291435,1,10,9,0.5715382370740714,9,-0.0049336459868605485,9,0.584305299750528,9,0.12999700265936553
02691156/162ed8d0d989f3acc1ccec171a275967,oracle,0,vis_a,view_budget_exhausted,10,0.14497312553920544,0.9400091661053289,7.184952717643751,1,10,9,0.0,9,1.0,9,1.0,9,0.0029999973776284605
02691156/1659db64bbf46bcdc1955ee4b5680e91,random,0,vis_a,view_budget_exhausted,10,0.09615501137793364,0.724669377539024,4.875972006771784,1,10,9,0.731404868057542,9,-0.007177846895873478,9,0.4757448279638878,9,0.13139699876774102
02691156/1659db64bbf46bcdc1955ee4b5680e91,oracle,0,vis_a,view_budget_exhausted,10,0.09615501137793364,0.8054778668035212,6.013295417536978,1,10,9,0.0,9,1.0,9,1.0,9,0.0021000014385208488
02691156/165c4491d10067b3bd46d022fd7d80aa,random,0,vis_a,view_budget_exhausted,10,0.09221828982360161,0.9231144522719397,5.880042729286409,1,10,9,0.5861938125095475,9,0.10015951850479979,9,0.5895275005553859,9,0.1267970001208596
02691156/165c4491d10067b3bd46d022fd7d80aa,oracle,0,vis_a,view_budget_exhausted,10,0.09221828982360161,0.9474546686945355,7.145508684733818,1,10,9,0.0,9,1.0,9,1.0,9,0.0022999993234407157
02691156/1667ab313638fb366cf1b4a8fc3914e,random,0,vis_a,view_budget_exhausted,10,0.08599246005281433,0.8847723923591295,6.235231648369797,1,10,9,0.5699446166916151,9,0.011524312370180438,9,0.5620568238756909,9,0.14069700046093203
02691156/1667ab313638fb366cf1b4a8fc3914e,oracle,0,vis_a,view_budget_exhausted,10,0.08599246005281433,0.9229253750054438,6.926990567240215,1,10,9,0.0,9,1.0,9,1.0,9,0.0022999993234407157
02691156/16689e54c884aa01639c7058eaf33ae,random,0,vis_a,view_budget_exhausted,10,0.08070994475165805,0.7885163377517839,5.106308680207001,1,10,9,0.5783578710522845,9,0.0009168149588341868,9,0.6150072979052027,9,0.10369799929321744
02691156/16689e54c884aa01639c7058eaf33ae,oracle,0,vis_a,view_budget_exhausted,10,0.08070994475165805,0.8121518263165041,6.185156975626487,1,10,9,0.0,9,1.0,9,1.0,9,0.0026999987312592566
02691156/166d333d38897d1513d521050081b441,random,0,vis_a,view_budget_exhausted,10,0.14208135162895985,0.8355433888629936,5.953452034959341,1,10,9,0.5040420259772193,9,0.06797840408768038,9,0.6411078052861935,9,0.0911979986994993
02691156/166d333d38897d1513d521050081b441,oracle,0,vis_a,view_budget_exhausted,10,0.14208135162895985,0.8674653254603504,6.564730790168584,1,10,9,0.0,9,1.0,9,1.0,9,0.0021000014385208488
02691156/16715d886ecf0a97ce2cec85ea6ae00d,random,0,vis_a,view_budget_exhausted,10,0.13740721302201397,0.7347776375077064,5.4143885876656626,1,10,9,0.5734826035588871,9,0.020951815393116226,9,0.5107014403866508,9,0.11149800047860481
02691156/16715d886ecf0a97ce2cec85ea6ae00d,oracle,0,vis_a,view_budget_exhausted,10,0.13740721302201397,0.7638828096679248,5.849817262570124,1,10,9,0.0,9,1.0,9,1.0,9,0.0031999989005271345
02691156/167250e2014c72dbb87697d3904b168b,random,0,vis_a,view_budget_exhausted,10,0.11972974763032487,0.8260923535498945,6.341270134391665,1,10,9,0.6202978184930132,9,0.08275565963066289,9,0.5202237330281468,9,0.10279799971613102
02691156/167250e2014c72dbb87697d3904b168b,oracle,0,vis_a,view_budget_exhausted,10,0.11972974763032487,0.8754713368915622,6.693148402104745,1,10,9,0.0,9,1.0,9,1.0,9,0.0024000000848900527
02691156/167740d2a5f5cb6c7f4561609781d8c9,random,0,vis_a,view_budget_exhausted,10,0.06662256831444521,0.8472592078504693,6.119404397359827,1,10,9,0.6527498860528981,9,-0.051641315772555575,9,0.4049624632335912,9,0.10319799912394956
02691156/167740d2a5f5cb6c7f4561609781d8c9,oracle,0,vis_a,view_budget_exhausted,10,0.06662256831444521,0.863482599733101,6.865877419315711,1,10,9,0.0,9,1.0,9,1.0,9,0.0020999978005420417
