object_id,policy,seed,step_index,history_anchor_ids,acquired_view_count_before,acquired_view_count_after,valid_candidate_mask,selected_anchor,selected_true_gain,oracle_true_gain,coverage_before,coverage_after,normalized_regret,spearman,ndcg_at_5,policy_ms,acquisition_ms
02691156/16689e54c884aa01639c7058eaf33ae,random,0,2,"[0, 1, 40]",3,4,"[false, false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true]",10,0.22869007478817077,0.24100901051517476,0.3197282336237073,0.548418308411878,0.059722441142432366,0.14334650856389985,0.9055424112992163,0.09889699867926538,0.415690999943763
02691156/16689e54c884aa01639c7058eaf33ae,random,0,3,"[0, 1, 40, 10]",4,5,"[false, false, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true]",47,0.08079603825933708,0.1937732207991316,0.548418308411878,0.629214346671215,0.62363598063563,-0.1506694855532065,0.5207580731690841,0.11019800149369985,0.4945900000166148
02691156/16689e54c884aa01639c7058eaf33ae,random,0,4,"[0, 1, 40, 10, 47]",5,6,"[false, false, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, false]",8,0.01280562892144281,0.13193471644365698,0.629214346671215,0.6420199755926579,0.9832224852938968,-0.1134098459679855,0.2203873605452032,0.10369799929321744,0.3978910026489757
02691156/16689e54c884aa01639c7058eaf33ae,random,0,5,"[0, 1, 40, 10, 47, 8]",6,7,"[false, false, true, true, true, true, true, true, false, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, false]",22,0.11946121196836215,0.12848233204529194,0.6420199755926579,0.7614811875610201,0.07430835291630804,0.20735758852605138,0.8782815340471207,0.09349800166091882,0.3786919987760484
02691156/16689e54c884aa01639c7058eaf33ae,random,0,6,"[0, 1, 40, 10, 47, 8, 22]",7,8,"[false, false, true, true, true, true, true, true, false, true, false, true, true, true, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, false]",31,0.006824675360415583,0.018600861215983408,0.7614811875610201,0.7683058629214357,0.8733504033771995,-0.06951219512195121,0.6270050432691653,0.09209800191456452,0.4703900012827944
02691156/16689e54c884aa01639c7058eaf33ae,random,0,7,"[0, 1, 40, 10, 47, 8, 22, 31]",8,9,"[false, false, true, true, true, true, true, true, false, true, false, true, true, true, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, false]",34,0.012869145382001488,0.016400997328810712,0.7683058629214357,0.7811750083034371,0.2969188125830587,0.24052532833020637,0.7087619876969746,0.13899699843022972,0.47818999883020297
02691156/16689e54c884aa01639c7058eaf33ae,random,0,8,"[0, 1, 40, 10, 47, 8, 22, 31, 34]",9,10,"[false, false, true, true, true, true, true, true, false, true, false, true, true, true, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, true, false, true, true, false, true, true, true, true, true, false, true, true, true, true, true, true, false]",32,0.007341329448346686,0.015471120087485047,0.7811750083034371,0.7885163377517839,0.6685557015301955,-0.07611336032388664,0.5218382277084884,0.11299700054223649,0.3938910012948327
02691156/16689e54c884aa01639c7058eaf33ae,oracle,0,0,[0],1,2,"[false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true]",18,0.34463710648171486,0.34463710648171486,0.08070994475165805,0.4253470512333729,0.0,1.0,1.0,0.0026999987312592566,0.5074889995739795
02691156/16689e54c884aa01639c7058eaf33ae,oracle,0,1,"[0, 18]",2,3,"[false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true]",30,0.2582354694093506,0.2582354694093506,0.4253470512333729,0.6835825206427235,0.0,0.9999999999999999,1.0,0.0027999994927085936,0.5105890013510361
02691156/16689e54c884aa01639c7058eaf33ae,oracle,0,2,"[0, 18, 30]",3,4,"[false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true]",32,0.04019051409061333,0.04019051409061333,0.6835825206427235,0.7237730347333369,0.0,0.9999999999999999,1.0,0.0024000000848900527,0.01590000101714395
