policy,acquired_view_count,object_count,accuracy_normalized_mean,completeness_normalized_mean,chamfer_l1_normalized_mean,precision_1pct_mean,recall_1pct_mean,fscore_1pct_mean,precision_2pct_mean,recall_2pct_mean,fscore_2pct_mean,precision_10pct_mean,recall_10pct_mean,fscore_10pct_mean
random,1,300,2.6650494777389895,2.9567506425459773,2.8109000601424836,0.0,0.0,0.0,0.0,0.0,0.0,0.0016956666666666667,8.666666666666667e-05,0.0001649049311140203
random,2,300,0.572666770147326,0.7793175040637396,0.6759921371055327,0.025955000000000002,0.0017416666666666665,0.003185666349526053,0.05430566666666666,0.004200666666666667,0.007583787975272799,0.19264099999999998,0.043652333333333335,0.06760575548813232
random,3,300,0.4575686033491515,0.637163030581422,0.5473658169652867,0.04367766666666667,0.005260333333333334,0.00912729930289031,0.09961533333333333,0.012406,0.021362862485942612,0.30218266666666665,0.103905,0.14674237195726675
random,5,300,0.25129377258850066,0.3902852466347006,0.32078950961160063,0.08315766666666666,0.016173333333333335,0.026108501239489237,0.183058,0.036008,0.057631717871331416,0.5040926666666666,0.234268,0.30336899969537257
random,10,300,0.16772831059746765,0.26878442434998767,0.21825636747372765,0.10859866666666666,0.03665466666666667,0.05310022798507218,0.23596166666666665,0.07511133333333334,0.10936213814152311,0.6348666666666666,0.3701716666666667,0.4503689051497395
