object_id,policy,acquired_view_count,history_anchor_ids,accuracy_normalized,completeness_normalized,chamfer_l1_normalized,ground_truth_diameter,precision_1pct,recall_1pct,fscore_1pct,precision_2pct,recall_2pct,fscore_2pct,precision_10pct,recall_10pct,fscore_10pct,alignment_mode,alignment_scale,camera_center_rmse_normalized,predicted_point_count,ground_truth_point_count,prediction_cache_hit,metric_cache_hit,ground_truth_cache_hit,prediction_cache_path,prediction_cache_sha256,metric_cache_path,evaluation_ms
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,random,1,[0],2.4314712359847195,2.819810264256723,2.6256407501207213,1.9695251010464678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,camera_rotation_center_and_target_diameter_scale_single_view,8.335381420448138,0.0,3865,10000,True,False,True,/content/cv3d-project/data/cache/reconstruction/predictions/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/0e8fc986e7ef93bd5017ac89.npz,6f577302e5cfd85874856fe4991ac9b47f96755fe8e467fdfb8fd5cf59a49288,/content/cv3d-project/data/cache/reconstruction/metrics/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/c6a8a196f916ae05a61507cd.json,930.545906000134
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,random,2,"[0, 9]",0.3988587281384823,0.5949301797027321,0.49689445392060716,1.9695251010464678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,camera_pose_sim3,0.8011852152620417,0.7772645308146835,10000,10000,True,False,True,/content/cv3d-project/data/cache/reconstruction/predictions/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/6bdfe6c59b05c3810d4199e3.npz,8885b3b7607b6147f120563acc488e005a4a33b1f041201c7a0980ff28b776aa,/content/cv3d-project/data/cache/reconstruction/metrics/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/37ae400705eaecbbc01ba11a.json,11.289691000001767
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,random,3,"[0, 9, 21]",0.60966079796722,0.8077244325984383,0.7086926152828291,1.9695251010464678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,camera_pose_sim3,2.2114370710897,0.5226751409791826,10000,10000,True,False,True,/content/cv3d-project/data/cache/reconstruction/predictions/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/6f95e0b7bc25b7e6d4d64f6d.npz,72f99945c56f3bf258892658cd3c00b791f5dafb9bdb75b352774aa3f5531028,/content/cv3d-project/data/cache/reconstruction/metrics/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/c20e5e38b34666974095acb5.json,11.062907999985327
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,random,5,"[0, 9, 21, 23, 31]",0.8288298672018478,0.9139469388801553,0.8713884030410015,1.9695251010464678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,camera_pose_sim3,1.966662458278924,0.7504127543073792,10000,10000,True,False,True,/content/cv3d-project/data/cache/reconstruction/predictions/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/71ebbe070bbd83942ceadfd6.npz,0f903961a703cf189eb43a5e5c9fec0c1818b101a9cce4dc3a1c546b308af665,/content/cv3d-project/data/cache/reconstruction/metrics/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/dd81dd7220b860f150cb5172.json,11.022126000170829
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,random,10,"[0, 9, 21, 23, 31, 29, 40, 2, 25, 17]",0.5418576940545634,0.6128436666176305,0.5773506803360969,1.9695251010464678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,camera_pose_sim3,2.084252599466238,0.8471218187920941,10000,10000,True,False,True,/content/cv3d-project/data/cache/reconstruction/predictions/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/fb29b7a3c4e4f566503b3c71.npz,f5c7775b3be09e033a8aabde1af3a2eb5afaea180f29fb310aba6b0a9d83cd17,/content/cv3d-project/data/cache/reconstruction/metrics/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/4f2e791199ac92d19be89814.json,11.941209000269737
02691156/162ed8d0d989f3acc1ccec171a275967,random,1,[0],3.434740151264781,3.8265822406981638,3.6306611959814723,1.975076625827974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,camera_rotation_center_and_target_diameter_scale_single_view,10.38245973395171,0.0,5955,10000,True,False,True,/content/cv3d-project/data/cache/reconstruction/predictions/02691156/162ed8d0d989f3acc1ccec171a275967/ed5b282c02994a43338b538f.npz,ba28c7bc62f792cee408987f8088322a3e2f3cc621dbc3ac246ff826fa5ad718,/content/cv3d-project/data/cache/reconstruction/metrics/02691156/162ed8d0d989f3acc1ccec171a275967/1d624515c6fb37d4438cc7d2.json,11.657668000225385
02691156/162ed8d0d989f3acc1ccec171a275967,random,2,"[0, 13]",0.8289857539160851,1.234329476701775,1.03165761530893,1.975076625827974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,camera_pose_sim3,0.04793179945853638,0.5507864731886135,10000,10000,True,False,True,/content/cv3d-project/data/cache/reconstruction/predictions/02691156/162ed8d0d989f3acc1ccec171a275967/5c8b73e4bd0a47eaabbc75e3.npz,41f2c395aa9fb264d887548ddae6f5d74944c23cf40310161822c65e54d9322a,/content/cv3d-project/data/cache/reconstruction/metrics/02691156/162ed8d0d989f3acc1ccec171a275967/dd92e1fb75ac6cd02eb081f0.json,11.12415499983399
02691156/162ed8d0d989f3acc1ccec171a275967,random,3,"[0, 13, 16]",0.9955491945335014,1.163236297551933,1.0793927460427173,1.975076625827974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,camera_pose_sim3,2.868443568407878,0.5696702092471804,10000,10000,True,False,True,/content/cv3d-project/data/cache/reconstruction/predictions/02691156/162ed8d0d989f3acc1ccec171a275967/929c5f67c630d2fdb725056d.npz,ffa92c62d39db2de06d0707aa5ffa301cdf807cac46c66a4e32513c89f067742,/content/cv3d-project/data/cache/reconstruction/metrics/02691156/162ed8d0d989f3acc1ccec171a275967/836cb0ce852ac6e2bb9df956.json,10.940977000245766
02691156/162ed8d0d989f3acc1ccec171a275967,random,5,"[0, 13, 16, 3, 46]",0.14695010866191863,0.2916704261699507,0.21931026741593468,1.975076625827974,0.0,0.0,0.0,0.0,0.0,0.0,0.1343,0.0532,0.07621077333333333,camera_pose_sim3,2.2296701667795915,0.9607078771021919,10000,10000,True,False,True,/content/cv3d-project/data/cache/reconstruction/predictions/02691156/162ed8d0d989f3acc1ccec171a275967/41bd3bebb900dea82fd75c68.npz,eb2240b8a338b4d804c877fe18cd1ec0f9052befc537c113dd92592fb576b9ad,/content/cv3d-project/data/cache/reconstruction/metrics/02691156/162ed8d0d989f3acc1ccec171a275967/1895807d7fe39a70a03a6052.json,10.993546999998216
02691156/162ed8d0d989f3acc1ccec171a275967,random,10,"[0, 13, 16, 3, 46, 43, 44, 28, 47, 40]",0.19486226586732738,0.38129398553063676,0.28807812569898206,1.975076625827974,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0031,0.0015121951219512198,camera_pose_sim3,2.0917534835460754,0.8861984980929463,10000,10000,True,False,True,/content/cv3d-project/data/cache/reconstruction/predictions/02691156/162ed8d0d989f3acc1ccec171a275967/21fa2c18ad5a6d2be43e24e2.npz,74e34a7d7abe76a7080eae1d915bf76df5048ea5a19a257d922072d010fdaa64,/content/cv3d-project/data/cache/reconstruction/metrics/02691156/162ed8d0d989f3acc1ccec171a275967/44cf90ae4e4e5a7bb381b5f5.json,11.627357000179472
