policy,acquired_view_count,coverage_mean,reachable_normalized_coverage_mean,reachable_coverage_ceiling_mean,object_count
random,1,0.19528458213782865,0.20425834537435178,0.9320595447834561,300
random,2,0.430915863541955,0.4568171763687414,0.9320595447834561,300
random,3,0.5735606582980453,0.6107102896357154,0.9320595447834561,300
random,4,0.6719079957051936,0.7154003354460818,0.9320595447834561,300
random,5,0.7343299436782618,0.7825695706443713,0.9320595447834561,300
random,6,0.7794665901171438,0.8311743817649218,0.9320595447834561,300
random,7,0.805188261850088,0.8591966553781485,0.9320595447834561,300
random,8,0.8262528266972858,0.8819520485070793,0.9320595447834561,300
random,9,0.8396199851846531,0.896389219271144,0.9320595447834561,300
random,10,0.8510870184076302,0.908908835368926,0.9320595447834561,300
