policy,history_length,sample_count,huber_loss,normalized_regret_mean,spearman_mean,ndcg_at_5_mean
vggt_independent_history,1,2400,0.012779865587751071,0.07352336859675303,0.8365110911964231,0.9398734104404524
vggt_joint_token_attention,1,2400,0.010199939526113061,0.06843214057571725,0.858231623882208,0.9479200107397867
vggt_independent_history,2,2400,0.009595456875831587,0.08045234602425441,0.8186765854661322,0.929656103969888
vggt_joint_token_attention,2,2400,0.010586149587179534,0.07479309653348139,0.8492645184499948,0.9363031043299415
vggt_independent_history,4,2400,0.007058351344797605,0.15312494687382908,0.7245305943632836,0.8645734324384631
vggt_joint_token_attention,4,2400,0.009508404941201054,0.12251617113931187,0.7813449712106927,0.8955644745347722
vggt_independent_history,6,2400,0.005893686896257956,0.24476499987749206,0.6229876040328539,0.7874191803958173
vggt_joint_token_attention,6,2400,0.007805463372496888,0.21232866582812926,0.6649804657579793,0.8218561925817272
vggt_independent_history,8,2400,0.005224169184657512,0.32696594081886277,0.530155837041078,0.7228750418201028
vggt_joint_token_attention,8,2400,0.0065879498995491306,0.27846750450491725,0.5668371703310402,0.7640045923457277
