object_id,policy,seed,coverage_target,stop_reason,acquired_views,initial_coverage,final_coverage,coverage_auc,reachable_coverage_ceiling,initial_reachable_normalized_coverage,final_reachable_normalized_coverage,reachable_normalized_coverage_auc,coverage_interval_start,coverage_interval_end,num_steps,normalized_regret_mean,normalized_regret_valid_count,spearman_mean,spearman_valid_count,ndcg_at_5_mean,ndcg_at_5_valid_count,median_policy_ms,peak_process_rss_bytes,peak_process_rss_delta_bytes,peak_cuda_allocated_bytes
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,vggt_independent_history,0,vis_a,view_budget_exhausted,10,0.07964814603744022,0.8885428889194549,6.59928093171696,0.941363767869644,0.08460931762615868,0.9438889823965441,7.010340908543231,1,10,9,0.35355337914512086,9,0.48021563836900977,9,0.769871038650269,9,1.596527000401693,6393208832,1032192,3649631744
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,vggt_joint_token_attention,0,vis_a,view_budget_exhausted,10,0.07964814603744022,0.8870841648840773,6.522599321576603,0.941363767869644,0.08460931762615868,0.9423393964817613,6.928882908184994,1,10,9,0.32894116685089614,9,0.459720431326937,9,0.7649771116118722,9,258.37076700008765,6395940864,2473984,4496820224
02691156/162ed8d0d989f3acc1ccec171a275967,vggt_independent_history,0,vis_a,view_budget_exhausted,10,0.14497312553920544,0.9236389291591339,7.1269628073808775,0.9762990062799165,0.14849254645009843,0.9460615274807682,7.299979577504037,1,10,9,0.35228294067222976,9,0.18780084039007983,9,0.7399502002607503,9,1.5720569999757572,6395994112,0,3649631744
02691156/162ed8d0d989f3acc1ccec171a275967,vggt_joint_token_attention,0,vis_a,view_budget_exhausted,10,0.14497312553920544,0.9228005584747174,7.116914744552066,0.9762990062799165,0.14849254645009843,0.9452028042012977,7.289687584206719,1,10,9,0.3572265920441727,9,0.4425187213119359,9,0.770712566801875,9,244.59664299956785,6396022784,4096,4496820224
02691156/1659db64bbf46bcdc1955ee4b5680e91,vggt_independent_history,0,vis_a,view_budget_exhausted,10,0.09615501137793364,0.7933240900095233,5.861578355299936,0.8741666209605004,0.10999620561155977,0.9075204554686035,6.705333073527173,1,10,9,0.2867034348879596,9,0.688264461298887,9,0.8407210335669435,9,1.555302999804553,6396063744,0,3649631744
02691156/1659db64bbf46bcdc1955ee4b5680e91,vggt_joint_token_attention,0,vis_a,view_budget_exhausted,10,0.09615501137793364,0.7912832697441008,5.960007066461443,0.8741666209605004,0.10999620561155977,0.9051858659104022,6.817930270447547,1,10,9,0.26484018119100705,9,0.3625302797539652,9,0.81021469264399,9,248.33284899978025,6396080128,0,4496820224
02691156/165c4491d10067b3bd46d022fd7d80aa,vggt_independent_history,0,vis_a,view_budget_exhausted,10,0.09221828982360161,0.9388804990522315,7.053280138442631,0.9835397706830906,0.09376162771694928,0.9545933240708281,7.17132173876809,1,10,9,0.36204335012843947,9,0.5669088948152026,9,0.830031760613154,9,1.5721139998277067,6396116992,0,3649631744
02691156/165c4491d10067b3bd46d022fd7d80aa,vggt_joint_token_attention,0,vis_a,view_budget_exhausted,10,0.09221828982360161,0.936349087568904,7.014489236724148,0.9835397706830906,0.09376162771694928,0.9520195476371925,7.131881644046205,1,10,9,0.3198481688273206,9,0.4669083230600952,9,0.7997211765784232,9,243.68543699984002,6396129280,0,4496820224
02691156/1667ab313638fb366cf1b4a8fc3914e,vggt_independent_history,0,vis_a,view_budget_exhausted,10,0.08599246005281433,0.9072255822489603,6.834015810044507,0.9687575041274639,0.08876572278040377,0.93648366942569,7.054413288080526,1,10,9,0.39258198432437014,9,0.43902777541886207,9,0.7997278856050593,9,1.5942909994919319,6396153856,0,3649631744
02691156/1667ab313638fb366cf1b4a8fc3914e,vggt_joint_token_attention,0,vis_a,view_budget_exhausted,10,0.08599246005281433,0.914088848022063,6.847243509109582,0.9687575041274639,0.08876572278040377,0.943568275990141,7.06806758134661,1,10,9,0.14945182380818184,9,0.6671840510057669,9,0.9176702583855635,9,245.3237869995064,6396162048,0,4496820224
