policy,acquired_view_count,object_count,accuracy_normalized_mean,chamfer_l1_normalized_mean,completeness_normalized_mean,fscore_10pct_mean,fscore_1pct_mean,fscore_2pct_mean,precision_10pct_mean,precision_1pct_mean,precision_2pct_mean,recall_10pct_mean,recall_1pct_mean,recall_2pct_mean
vggt_independent_history,1,300,2.6650494777389895,2.8109000601424836,2.9567506425459773,0.0001649049311140203,0.0,0.0,0.0016956666666666667,0.0,0.0,8.666666666666667e-05,0.0,0.0
vggt_independent_history,2,300,0.6546843360326989,0.7405881412732477,0.8264919465137963,0.0937332754166954,0.005872735296083406,0.012719717066458967,0.24127,0.030944000000000003,0.06988933333333333,0.06313533333333333,0.003371666666666667,0.00736
vggt_independent_history,3,300,0.4505056467518556,0.531590590782358,0.6126755348128606,0.11823611751557275,0.00995195545147614,0.021748556846665743,0.22818533333333335,0.03230366666666666,0.071404,0.08731333333333334,0.006158666666666667,0.013541333333333334
vggt_independent_history,5,300,0.20968101303102438,0.26166887159577146,0.3136567301605186,0.3811703130016389,0.03951272665329429,0.08422133094650341,0.5791213333333334,0.09790566666666668,0.21727466666666667,0.30342800000000003,0.025610666666666664,0.05468699999999999
vggt_independent_history,10,300,0.16420642678865713,0.19883652271048383,0.2334666186323105,0.5583287315675327,0.07326302555868346,0.15098364323837352,0.7088173333333333,0.12921466666666664,0.285666,0.47458933333333336,0.052860000000000004,0.10604166666666667
vggt_joint_token_attention,1,300,2.6650494777389895,2.8109000601424836,2.9567506425459773,0.0001649049311140203,0.0,0.0,0.0016956666666666667,0.0,0.0,8.666666666666667e-05,0.0,0.0
vggt_joint_token_attention,2,300,0.5830909127811629,0.6718311750571366,0.7605714373331104,0.09512949133593385,0.0043543762731476,0.01104686293424875,0.246948,0.028076333333333328,0.066942,0.06186066666666667,0.002416,0.0061853333333333335
vggt_joint_token_attention,3,300,0.4607512802233107,0.5384155462350644,0.616079812246818,0.12700836280784983,0.00780811421272502,0.018132060595771743,0.2527603333333333,0.030483,0.069148,0.09251033333333333,0.0045776666666666665,0.010779333333333333
vggt_joint_token_attention,5,300,0.30981325233893586,0.3654488538250078,0.42108445531107974,0.34158550757617134,0.030505072207012287,0.06897386678430924,0.5030873333333333,0.075713,0.17379966666666666,0.2748453333333334,0.019778666666666667,0.045058666666666664
vggt_joint_token_attention,10,300,0.17990427676623175,0.22320830745706843,0.26651233814790515,0.49236516118837265,0.06354598904506428,0.13152567199672602,0.6479503333333334,0.11554433333333333,0.25464266666666663,0.411533,0.045193,0.09184233333333335
