policy,acquired_view_count,coverage_mean,reachable_normalized_coverage_mean,object_count
vggt_independent_history,1,0.19528458213782865,0.20425834537435178,300
vggt_independent_history,2,0.5231963666538144,0.5539748734859734,300
vggt_independent_history,3,0.7419877851003965,0.7901710924348603,300
vggt_independent_history,4,0.7867892355756436,0.8387029097386208,300
vggt_independent_history,5,0.8172864898418477,0.8718676351100919,300
vggt_independent_history,6,0.8315027092606683,0.8872402858940643,300
vggt_independent_history,7,0.8427484174664027,0.8995264649650505,300
vggt_independent_history,8,0.8519371650619344,0.9095653737810255,300
vggt_independent_history,9,0.8582712147335358,0.9165353696023929,300
vggt_independent_history,10,0.8640339220615848,0.9229008963102907,300
vggt_joint_token_attention,1,0.19528458213782865,0.20425834537435178,300
vggt_joint_token_attention,2,0.5196279822727135,0.549734535190548,300
vggt_joint_token_attention,3,0.7465782581583733,0.795427172137848,300
vggt_joint_token_attention,4,0.7969124723480073,0.8497869775260302,300
vggt_joint_token_attention,5,0.8274996419402268,0.8829476885154092,300
vggt_joint_token_attention,6,0.8407189586471451,0.8971595765974166,300
vggt_joint_token_attention,7,0.849691365646758,0.9069627212089699,300
vggt_joint_token_attention,8,0.8570128901542703,0.9150331875746853,300
vggt_joint_token_attention,9,0.8627372268855376,0.9213624159186243,300
vggt_joint_token_attention,10,0.8674320183986313,0.9265652496866664,300
