policy,object_count,final_coverage_mean,coverage_auc_mean,reachable_coverage_ceiling_mean,final_reachable_normalized_coverage_mean,reachable_normalized_coverage_auc_mean,normalized_regret_mean,normalized_regret_valid_count,spearman_mean,spearman_valid_count,ndcg_at_5_mean,ndcg_at_5_valid_count,median_policy_ms,profiling_modes,peak_process_rss_bytes,peak_process_rss_delta_bytes,peak_cuda_allocated_bytes
vggt_independent_history,300,0.8640339220615848,6.783378635793952,0.9320595447834561,0.9229008963102907,7.2311636258544025,0.40382618495926637,2700,0.37306801236329956,2699,0.6677054746209357,2700,1.5632559998266515,"[""cached_independent_features_plus_live_history_head""]",5334568960,1064960,3649323520
vggt_joint_history,300,0.8623187791813245,6.753728572657072,0.9320595447834561,0.9210130263779093,7.199462768476125,0.41751639967832255,2700,0.3367776501390001,2699,0.6513584486697945,2700,242.34572900058993,"[""live_joint_vggt_plus_history_head""]",5334560768,76816384,4496655872
