policy,acquired_view_count,coverage_mean,reachable_normalized_coverage_mean,object_count
vggt_independent_history,1,0.19528458213782865,0.20425834537435178,300
vggt_independent_history,2,0.5231963666538144,0.5539748734859734,300
vggt_independent_history,3,0.7419877851003965,0.7901710924348603,300
vggt_independent_history,4,0.7867892355756436,0.8387029097386208,300
vggt_independent_history,5,0.8172864898418477,0.8718676351100919,300
vggt_independent_history,6,0.8315027092606683,0.8872402858940643,300
vggt_independent_history,7,0.8427484174664027,0.8995264649650505,300
vggt_independent_history,8,0.8519371650619344,0.9095653737810255,300
vggt_independent_history,9,0.8582712147335358,0.9165353696023929,300
vggt_independent_history,10,0.8640339220615848,0.9229008963102907,300
vggt_joint_history,1,0.19528458213782865,0.20425834537435178,300
vggt_joint_history,2,0.5223111260946983,0.5530264512033142,300
vggt_joint_history,3,0.7339409515548183,0.7818516747596116,300
vggt_joint_history,4,0.7793386327818393,0.8308637845722396,300
vggt_joint_history,5,0.812818779916149,0.8669158005669741,300
vggt_joint_history,6,0.8291511928683974,0.8846621762006294,300
vggt_joint_history,7,0.8409796938858042,0.8975474855735209,300
vggt_joint_history,8,0.849759613164524,0.9072082412478479,300
vggt_joint_history,9,0.8566269017312652,0.9147514684758573,300
vggt_joint_history,10,0.8623187791813245,0.9210130263779093,300
