policy,acquired_view_count,coverage_mean,reachable_normalized_coverage_mean,reachable_coverage_ceiling_mean,object_count
oracle,1,0.19528458213782865,0.20425834537435178,0.9320595447834561,300
oracle,2,0.5511925027082024,0.5837468526174191,0.9320595447834561,300
oracle,3,0.7668395367580542,0.8170214231802396,0.9320595447834561,300
oracle,4,0.8162688987245721,0.8702991221736447,0.9320595447834561,300
oracle,5,0.8422874586829888,0.8985802653962196,0.9320595447834561,300
oracle,6,0.856327403588155,0.9139824909432253,0.9320595447834561,300
oracle,7,0.8661868860017766,0.9248973494250915,0.9320595447834561,300
oracle,8,0.8737206745829698,0.9332789945408478,0.9320595447834561,300
oracle,9,0.8798472943333115,0.9401308100616397,0.9320595447834561,300
oracle,10,0.8849470611338567,0.9458576309841548,0.9320595447834561,300
