object_id,policy,acquired_view_count,history_anchor_ids,accuracy_normalized,chamfer_l1_normalized,completeness_normalized,fscore_10pct,fscore_1pct,fscore_2pct,ground_truth_diameter,precision_10pct,precision_1pct,precision_2pct,recall_10pct,recall_1pct,recall_2pct,alignment_mode,alignment_scale,camera_center_rmse_normalized,predicted_point_count,ground_truth_point_count,prediction_cache_hit,metric_cache_hit,ground_truth_cache_hit,prediction_cache_path,prediction_cache_sha256,metric_cache_path,evaluation_ms
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,oracle,1,[0],2.4314712359847195,2.6256407501207213,2.819810264256723,0.0,0.0,0.0,1.9695251010464678,0.0,0.0,0.0,0.0,0.0,0.0,camera_rotation_center_and_target_diameter_scale_single_view,8.335381420448138,0.0,3865,10000,True,True,True,/content/cv3d-project/data/cache/reconstruction/predictions/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/0e8fc986e7ef93bd5017ac89.npz,6f577302e5cfd85874856fe4991ac9b47f96755fe8e467fdfb8fd5cf59a49288,/content/cv3d-project/data/cache/reconstruction/metrics/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/c6a8a196f916ae05a61507cd.json,3.207435999684094
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,oracle,2,"[0, 18]",0.028927890327218306,0.08849560967725065,0.148063329027283,0.5536592421174428,0.0325059902200489,0.08664175599795815,1.9695251010464678,1.0,0.1453,0.3422,0.3828,0.0183,0.0496,camera_pose_sim3,2.044287760477207,0.8482934998702252,10000,10000,True,True,True,/content/cv3d-project/data/cache/reconstruction/predictions/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/07f9f957f25a51fbd605b875.npz,953213819662ffe52c42f7a4df92313f1e65151954735cc8752a98453bb0ea9c,/content/cv3d-project/data/cache/reconstruction/metrics/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/d12cba01d18b4d7fbefc133f.json,2.4706469998818648
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,oracle,3,"[0, 18, 22]",0.7832716171742343,0.9221450076504525,1.0610183981266708,0.0,0.0,0.0,1.9695251010464678,0.0,0.0,0.0,0.0,0.0,0.0,camera_pose_sim3,1.5707162528454994,1.0482805425920216,10000,10000,True,False,True,/content/cv3d-project/data/cache/reconstruction/predictions/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/a6a82b22462df73c346e665a.npz,326166fb1c5bceec6f3cd6dbe66d7d432db5deefdc2f75843506db7f812fafac,/content/cv3d-project/data/cache/reconstruction/metrics/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/5880a149717273840e05cf6e.json,484.62136200032546
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,oracle,5,"[0, 18, 22, 28, 32]",0.44340018642574197,0.475979709380772,0.508559232335802,0.0,0.0,0.0,1.9695251010464678,0.0,0.0,0.0,0.0,0.0,0.0,camera_pose_sim3,2.5407750498007036,0.5275970672993497,10000,10000,True,False,True,/content/cv3d-project/data/cache/reconstruction/predictions/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/c3d70e84b6c39ba4ea86d2ab.npz,0b7f325cd29317fcacc090642f4c259345df4b7f42788789f7abe77e92e4b81a,/content/cv3d-project/data/cache/reconstruction/metrics/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/dd13007dee36a24c51d22c9c.json,12.39144999999553
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,oracle,10,"[0, 18, 22, 28, 32, 37, 19, 17, 38, 26]",0.22945782863528597,0.23964088533485706,0.24982394203442812,0.0,0.0,0.0,1.9695251010464678,0.0,0.0,0.0,0.0,0.0,0.0,camera_pose_sim3,2.790714923721973,0.32497889668613505,10000,10000,True,False,True,/content/cv3d-project/data/cache/reconstruction/predictions/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/2a0b29ad61c30e162b1a0b13.npz,144ccb65e6e28885412a53daa63bc760a17f26a920e589db6cd1cd8d6edf20e1,/content/cv3d-project/data/cache/reconstruction/metrics/02691156/1628b65a9f3cd7c05e9e2656aff7dd5b/8294cb80b08a440e0e3b2c06.json,12.809006000225054
02691156/162ed8d0d989f3acc1ccec171a275967,oracle,1,[0],3.434740151264781,3.6306611959814723,3.8265822406981638,0.0,0.0,0.0,1.975076625827974,0.0,0.0,0.0,0.0,0.0,0.0,camera_rotation_center_and_target_diameter_scale_single_view,10.38245973395171,0.0,5955,10000,True,True,True,/content/cv3d-project/data/cache/reconstruction/predictions/02691156/162ed8d0d989f3acc1ccec171a275967/ed5b282c02994a43338b538f.npz,ba28c7bc62f792cee408987f8088322a3e2f3cc621dbc3ac246ff826fa5ad718,/content/cv3d-project/data/cache/reconstruction/metrics/02691156/162ed8d0d989f3acc1ccec171a275967/1d624515c6fb37d4438cc7d2.json,3.359024000019417
02691156/162ed8d0d989f3acc1ccec171a275967,oracle,2,"[0, 37]",1.7232516036083978,1.7788502888399595,1.8344489740715213,0.0,0.0,0.0,1.975076625827974,0.0,0.0,0.0,0.0,0.0,0.0,camera_pose_sim3,4.070347028039853,0.5313311923046838,10000,10000,True,False,True,/content/cv3d-project/data/cache/reconstruction/predictions/02691156/162ed8d0d989f3acc1ccec171a275967/77d77909e03916f0ea1e0444.npz,220dd98ad0a1bcb7c4181e8cafcdc2f4fd6dd68fbe6da012efc4cf429397243f,/content/cv3d-project/data/cache/reconstruction/metrics/02691156/162ed8d0d989f3acc1ccec171a275967/f4df7135c61589a06196b6ca.json,11.729938999906153
02691156/162ed8d0d989f3acc1ccec171a275967,oracle,3,"[0, 37, 25]",1.607867765322359,1.6672236608704698,1.7265795564185809,0.0,0.0,0.0,1.975076625827974,0.0,0.0,0.0,0.0,0.0,0.0,camera_pose_sim3,2.6444812830483206,1.0607769858058034,10000,10000,True,False,True,/content/cv3d-project/data/cache/reconstruction/predictions/02691156/162ed8d0d989f3acc1ccec171a275967/47134d9e5affd8f355f19187.npz,3c71a466f27c2c47162d3cda261b4fdd65155b8c2ef3e2ab6a235272281e6b7b,/content/cv3d-project/data/cache/reconstruction/metrics/02691156/162ed8d0d989f3acc1ccec171a275967/8e2cb1a123c395e3fab22207.json,11.577751000004355
02691156/162ed8d0d989f3acc1ccec171a275967,oracle,5,"[0, 37, 25, 31, 35]",1.75971531464131,1.8558179945779094,1.951920674514509,0.0,0.0,0.0,1.975076625827974,0.0,0.0,0.0,0.0,0.0,0.0,camera_pose_sim3,2.5558319784335177,1.2597323640259872,10000,10000,True,False,True,/content/cv3d-project/data/cache/reconstruction/predictions/02691156/162ed8d0d989f3acc1ccec171a275967/8e724ffb60075f59503d1f28.npz,54d86157fc0f98b2c4e2d8de98c3d45f825d984921e2797e131196001c36daec,/content/cv3d-project/data/cache/reconstruction/metrics/02691156/162ed8d0d989f3acc1ccec171a275967/eeed4ede2efa0f6cc72c3183.json,11.73925600005532
02691156/162ed8d0d989f3acc1ccec171a275967,oracle,10,"[0, 37, 25, 31, 35, 24, 47, 10, 38, 27]",2.069453576744822,2.216451578521378,2.3634495802979343,0.0,0.0,0.0,1.975076625827974,0.0,0.0,0.0,0.0,0.0,0.0,camera_pose_sim3_positive_scale_fallback,3.812901094995355,1.9508305105458843,10000,10000,True,False,True,/content/cv3d-project/data/cache/reconstruction/predictions/02691156/162ed8d0d989f3acc1ccec171a275967/0f659916c2aff8bdb63730d8.npz,6b5922534628602819055198ba733335ade697ec6a06ceef7522e059aef12dfa,/content/cv3d-project/data/cache/reconstruction/metrics/02691156/162ed8d0d989f3acc1ccec171a275967/8483d3e5d893061b7bc50f9c.json,12.377323000237084
