policy,acquired_view_count,object_count,accuracy_normalized_mean,completeness_normalized_mean,chamfer_l1_normalized_mean,precision_1pct_mean,recall_1pct_mean,fscore_1pct_mean,precision_2pct_mean,recall_2pct_mean,fscore_2pct_mean,precision_10pct_mean,recall_10pct_mean,fscore_10pct_mean
vggt_independent_history,1,300,2.6650494777389895,2.9567506425459773,2.8109000601424836,0.0,0.0,0.0,0.0,0.0,0.0,0.0016956666666666667,8.666666666666667e-05,0.0001649049311140203
vggt_independent_history,2,300,0.6546843360326989,0.8264919465137963,0.7405881412732477,0.030944000000000003,0.003371666666666667,0.005872735296083406,0.06988933333333333,0.00736,0.012719717066458967,0.24127,0.06313533333333333,0.0937332754166954
vggt_independent_history,3,300,0.4505056467518556,0.6126755348128606,0.531590590782358,0.03230366666666666,0.006158666666666667,0.00995195545147614,0.071404,0.013541333333333334,0.021748556846665743,0.22818533333333335,0.08731333333333334,0.11823611751557275
vggt_independent_history,5,300,0.20968101303102438,0.3136567301605186,0.26166887159577146,0.09790566666666668,0.025610666666666664,0.03951272665329429,0.21727466666666667,0.05468699999999999,0.08422133094650341,0.5791213333333334,0.30342800000000003,0.3811703130016389
vggt_independent_history,10,300,0.16420642678865713,0.2334666186323105,0.19883652271048383,0.12921466666666664,0.052860000000000004,0.07326302555868346,0.285666,0.10604166666666667,0.15098364323837352,0.7088173333333333,0.47458933333333336,0.5583287315675327
vggt_joint_pose_deepsets,1,300,2.6650494777389895,2.9567506425459773,2.8109000601424836,0.0,0.0,0.0,0.0,0.0,0.0,0.0016956666666666667,8.666666666666667e-05,0.0001649049311140203
vggt_joint_pose_deepsets,2,300,0.6724160359365144,0.8498829027751175,0.761149469355816,0.032589,0.002843333333333333,0.004956096749030596,0.07398466666666667,0.006596,0.011356265492992448,0.24053866666666668,0.05453633333333334,0.08200179138611088
vggt_joint_pose_deepsets,3,300,0.46483633024569676,0.6206492631603276,0.5427427967030121,0.026755333333333332,0.005541666666666667,0.008839304286257003,0.06217333333333334,0.012119999999999999,0.019391228697439183,0.21580366666666667,0.083852,0.11411689151834857
vggt_joint_pose_deepsets,5,300,0.21657759826804351,0.3223803133378102,0.26947895580292686,0.09733466666666667,0.02567133333333333,0.03957882558602217,0.21798966666666666,0.05697033333333334,0.08764778841932148,0.5804456666666666,0.3115913333333333,0.3907762998343884
vggt_joint_pose_deepsets,10,300,0.13968041238720658,0.2107321119861526,0.17520626218667956,0.13173466666666667,0.054,0.07466483660289427,0.28693766666666665,0.10956766666666667,0.154085834938567,0.7242946666666665,0.48341866666666666,0.5669843047272083
