object_id,policy,seed,step_index,history_anchor_ids,acquired_view_count_before,acquired_view_count_after,valid_candidate_mask,selected_anchor,selected_true_gain,oracle_true_gain,coverage_before,coverage_after,normalized_regret,spearman,ndcg_at_5,policy_ms,acquisition_ms
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,vggt,0,0,[0],1,2,"[false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true]",5,0.2000748549136798,0.34240813838295486,0.07964814603744022,0.27972300095112,0.49764270734342614,0.5915818686401481,0.7666744388209408,7.85089899727609,1.1481000001367647
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,vggt,0,1,"[0, 5]",2,3,"[false, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true]",14,0.14230460960922203,0.29092486128233985,0.27972300095112,0.42202761056034205,0.6111724341668902,0.4474545745514752,0.7500570533669615,4.372498999146046,0.811099998827558
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,vggt,0,2,"[0, 5, 14]",3,4,"[false, true, true, true, true, false, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true]",22,0.06709600765400875,0.27200942584135857,0.42202761056034205,0.48912361821435085,0.8756577666948873,0.09881030179745208,0.5443090033134704,4.487600002903491,0.5114000014145859
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,vggt,0,3,"[0, 5, 14, 22]",4,5,"[false, true, true, true, true, false, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true]",31,0.03480561177219225,0.26322534728489966,0.48912361821435085,0.5239292299865431,0.9479305149666014,-0.08210477840449631,0.43173225052512026,7.944099001178984,1.3197000007494353
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,vggt,0,4,"[0, 5, 14, 22, 31]",5,6,"[false, true, true, true, true, false, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true]",23,0.04348550135969152,0.25500577379613865,0.5239292299865431,0.5674147313462345,0.8826896406155094,-0.13031606817328645,0.4094611765234274,7.915498998045223,1.0502000004635192
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,vggt,0,5,"[0, 5, 14, 22, 31, 23]",6,7,"[false, true, true, true, true, false, true, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, false, false, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true]",16,0.05506773901122283,0.24490924340371623,0.5674147313462345,0.6224824703574574,0.7906683684487997,-0.15546612085604772,0.29297854097375264,8.542399998987094,0.5979000015940983
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,vggt,0,6,"[0, 5, 14, 22, 31, 23, 16]",7,8,"[false, true, true, true, true, false, true, true, true, true, true, true, true, true, false, true, false, true, true, true, true, true, false, false, true, true, true, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true]",24,0.04949175460072552,0.21058480313578015,0.6224824703574574,0.6719742249581829,0.7773145595680279,-0.2444585880890444,0.27648432092538267,7.818000001861947,0.8938999999372754
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,vggt,0,7,"[0, 5, 14, 22, 31, 23, 16, 24]",8,9,"[false, true, true, true, true, false, true, true, true, true, true, true, true, true, false, true, false, true, true, true, true, true, false, false, false, true, true, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true]",17,0.07372176366138145,0.1777101785447397,0.6719742249581829,0.7456959886195644,0.5935111997596225,-0.2976421976394961,0.3063148776365581,7.8197990005719475,0.809799999842653
02691156/1628b65a9f3cd7c05e9e2656aff7dd5b,vggt,0,8,"[0, 5, 14, 22, 31, 23, 16, 24, 17]",9,10,"[false, true, true, true, true, false, true, true, true, true, true, true, true, true, false, true, false, false, true, true, true, true, false, false, false, true, true, true, true, true, true, false, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true]",25,0.047549254640635676,0.12066249637595357,0.7456959886195644,0.7932452432602,0.612547481567271,-0.4302462119089959,0.24844711718474674,9.040798999194521,0.6415999996534083
